 size; sign size; sign time (ns) ; parity size; parity time ; concrete size; concrete time ;analysis time;concrete analysis time;abstract analysis time;sign diff;parity diff;concrete diff;concrete time diff;abstract time diff
62;19;100;19;200;24;200;4069081;2151249;1613806;0,306451613;0,306451613;0,387096774;0,528681783;0,396602083
64;52;100;52;400;52;200;10356895;8168880;7999677;0,8125;0,8125;0,8125;0,788738324;0,772401091
41;27;200;27;200;27;300;2614226;1680738;1746797;0,658536585;0,658536585;0,658536585;0,642919931;0,668188978
23;3;100;3;100;4;400;1944670;691459;494861;0,130434783;0,130434783;0,173913043;0,35556624;0,254470424
83;59;200;59;100;59;400;12970632;10878613;11003540;0,710843373;0,710843373;0,710843373;0,838711098;0,848342625
16;3;200;3;100;3;300;2531207;502315;499558;0,1875;0,1875;0,1875;0,198448803;0,1973596
23;16;600;16;200;16;200;3470845;2126144;2210936;0,695652174;0,695652174;0,695652174;0,612572443;0,637002229
8;3;100;3;400;3;200;1433392;645298;616533;0,375;0,375;0,375;0,450189481;0,430121697
38;6;200;6;100;6;200;4379993;519971;563703;0,157894737;0,157894737;0,157894737;0,11871503;0,128699521
27;3;200;3;300;3;300;3490809;470713;505832;0,111111111;0,111111111;0,111111111;0,134843528;0,144903946
91;85;300;85;100;85;400;14249116;12936753;13201430;0,934065934;0,934065934;0,934065934;0,907898637;0,926473614
30;15;100;15;200;15;200;2455361;1103800;1222347;0,5;0,5;0,5;0,44954693;0,497827814
17;5;400;5;200;5;300;1560617;696698;725025;0,294117647;0,294117647;0,294117647;0,446424715;0,46457587
19;6;300;6;500;6;200;2433658;669843;685573;0,315789474;0,315789474;0,315789474;0,275241221;0,281704742
39;33;200;33;200;32;300;5785374;4203958;4640392;0,846153846;0,846153846;0,820512821;0,726652763;0,802090237
14;3;100;3;200;3;800;1917122;484984;509364;0,214285714;0,214285714;0,214285714;0,252975032;0,265692011
28;13;300;13;200;13;300;2129919;972969;1135231;0,464285714;0,464285714;0,464285714;0,456810329;0,532992569
17;8;200;8;200;8;300;2614414;890603;912765;0,470588235;0,470588235;0,470588235;0,340651098;0,34912795
11;9;200;9;200;9;200;1187441;1001829;842481;0,818181818;0,818181818;0,818181818;0,843687392;0,709492935
8;3;700;3;200;3;200;1487946;534819;517729;0,375;0,375;0,375;0,359434415;0,347948783
25;11;100;11;200;11;400;3583468;1480718;1485017;0,44;0,44;0,44;0,413208099;0,414407775
7;3;300;3;300;3;200;1033122;478218;479977;0,428571429;0,428571429;0,428571429;0,462886281;0,464588887
32;7;200;7;200;7;800;2193830;571540;595141;0,21875;0,21875;0,21875;0,260521554;0,271279452
40;3;500;3;200;3;100;6336363;541994;483652;0,075;0,075;0,075;0,085537082;0,076329592
45;3;100;3;300;3;200;5353202;482393;499740;0,066666667;0,066666667;0,066666667;0,090112983;0,093353473
17;6;200;6;200;6;300;2811709;915271;913169;0,352941176;0,352941176;0,352941176;0,32552124;0,324773652
19;4;400;4;400;4;300;1636284;506385;511975;0,210526316;0,210526316;0,210526316;0,309472561;0,312888838
43;8;300;8;300;8;200;2912924;891666;875111;0,186046512;0,186046512;0,186046512;0,306106853;0,300423561
15;3;100;3;200;3;300;2402113;463881;477796;0,2;0,2;0,2;0,193113729;0,198906546
23;9;200;9;200;9;200;2234873;913664;915338;0,391304348;0,391304348;0,391304348;0,408821441;0,409570477
19;9;200;9;100;9;500;2690476;805431;837279;0,473684211;0,473684211;0,473684211;0,299363756;0,311201066
50;6;300;6;100;6;100;7229590;1014233;1045496;0,12;0,12;0,12;0,140289145;0,144613457
40;3;300;3;300;3;400;5914567;494040;484532;0,075;0,075;0,075;0,083529361;0,081921804
106;96;200;96;300;96;200;7291206;7118968;7386046;0,905660377;0,905660377;0,905660377;0,976377296;1,01300745
42;15;200;15;300;15;300;6742242;2594588;2507612;0,357142857;0,357142857;0,357142857;0,3848257;0,37192554
31;14;200;14;200;14;100;3572869;993331;976937;0,451612903;0,451612903;0,451612903;0,278020549;0,273432079
16;3;400;3;200;3;100;1686031;474163;484062;0,1875;0,1875;0,1875;0,281230298;0,287101483
23;5;200;5;100;5;300;3316384;689710;710820;0,217391304;0,217391304;0,217391304;0,207970488;0,214335855
31;4;300;4;100;4;200;2629229;504203;504140;0,129032258;0,129032258;0,129032258;0,191768385;0,191744424
17;3;200;3;1300;3;200;2691479;482205;494472;0,176470588;0,176470588;0,176470588;0,17915986;0,183717577
81;22;400;22;500;44;200;11208385;6430532;3689972;0,271604938;0,271604938;0,543209877;0,573725117;0,329215315
17;3;200;3;100;3;100;2503192;488925;468416;0,176470588;0,176470588;0,176470588;0,195320615;0,187127476
36;3;100;3;500;3;500;2375638;474370;482525;0,083333333;0,083333333;0,083333333;0,199681096;0,203113858
39;14;300;14;100;15;200;6953145;2710830;2582240;0,358974359;0,358974359;0,384615385;0,389871058;0,371377269
41;23;500;23;200;24;200;5243915;3402356;3450809;0,56097561;0,56097561;0,585365854;0,648819823;0,658059675
21;7;200;7;200;7;200;2872483;1113704;1330732;0,333333333;0,333333333;0,333333333;0,38771474;0,463268886
9;6;100;6;200;6;100;1568336;541092;583381;0,666666667;0,666666667;0,666666667;0,345010253;0,3719745
19;3;200;3;200;3;100;2650078;472673;503488;0,157894737;0,157894737;0,157894737;0,17836192;0,18998988
61;48;200;48;200;48;200;3411322;2076488;2190065;0,786885246;0,786885246;0,786885246;0,608704778;0,641998908
55;3;200;3;200;3;100;7730459;490970;530226;0,054545455;0,054545455;0,054545455;0,063511106;0,0685892
11;3;200;3;300;3;200;1307557;465577;488175;0,272727273;0,272727273;0,272727273;0,356066313;0,373348925
15;3;300;3;100;3;1200;1601710;487181;490758;0,2;0,2;0,2;0,304163051;0,306396289
19;4;300;4;200;4;200;2574397;540515;556707;0,210526316;0,210526316;0,210526316;0,209957905;0,216247533
38;10;200;10;200;26;100;6643005;3725425;1142942;0,263157895;0,263157895;0,684210526;0,560804184;0,172051955
20;8;300;8;200;9;100;2531008;893663;742322;0,4;0,4;0,45;0,353085806;0,293291052
86;85;100;85;300;85;100;15697272;14855662;14814783;0,988372093;0,988372093;0,988372093;0,946384951;0,943780741
30;22;300;22;200;22;300;3445136;1690077;1714315;0,733333333;0,733333333;0,733333333;0,490569023;0,497604449
15;3;500;3;100;3;400;1249756;484382;483363;0,2;0,2;0,2;0,387581256;0,386765897
26;3;200;3;200;3;200;1924780;490053;483779;0,115384615;0,115384615;0,115384615;0,254602084;0,251342491
41;15;100;15;400;15;300;5494938;1068728;1112687;0,365853659;0,365853659;0,365853659;0,194493186;0,202493095
38;3;300;3;600;3;200;5485378;479622;479004;0,078947368;0,078947368;0,078947368;0,087436454;0,087323791
9;6;500;6;600;6;500;1754301;1035726;1033010;0,666666667;0,666666667;0,666666667;0,590392413;0,588844218
15;3;200;3;400;3;200;2036430;496216;480084;0,2;0,2;0,2;0,243669559;0,235747853
51;33;200;33;200;33;200;7814585;5385625;5336492;0,647058824;0,647058824;0,647058824;0,689176073;0,682888727
39;14;100;14;300;14;200;3354963;1200890;1207801;0,358974359;0,358974359;0,358974359;0,357944335;0,360004268
73;21;100;21;200;22;200;10315986;3704359;3321679;0,287671233;0,287671233;0,301369863;0,359089184;0,321993361
14;3;300;3;200;3;600;2362507;477919;482183;0,214285714;0,214285714;0,214285714;0,202293157;0,20409802
21;3;600;3;100;3;200;1826207;507668;490548;0,142857143;0,142857143;0,142857143;0,277990392;0,26861577
3;3;300;3;200;3;200;607467;475595;496168;1;1;1;0,782914957;0,816781817
87;48;300;48;200;63;200;15195040;11209584;8669287;0,551724138;0,551724138;0,724137931;0,737713359;0,570534003
38;3;300;3;3100;3;300;4565677;482970;488054;0,078947368;0,078947368;0,078947368;0,105782779;0,106896305
13;3;200;3;100;3;400;1872500;496351;510317;0,230769231;0,230769231;0,230769231;0,265073965;0,272532443
31;3;200;3;100;3;300;3167906;487710;481158;0,096774194;0,096774194;0,096774194;0,153953432;0,151885189
21;4;200;4;200;4;200;2949235;657686;676423;0,19047619;0,19047619;0,19047619;0,223002236;0,229355409
43;24;300;24;200;24;200;2742955;1204856;1280324;0,558139535;0,558139535;0,558139535;0,439254745;0,466768139
39;37;100;37;100;37;300;4513271;4212320;4024942;0,948717949;0,948717949;0,948717949;0,933318651;0,891801534
29;13;100;13;200;13;400;3144358;865117;881921;0,448275862;0,448275862;0,448275862;0,275133111;0,280477287
41;7;200;12;300;12;200;7349571;1101672;1093556;0,170731707;0,292682927;0,292682927;0,149896096;0,148791814
81;3;200;3;100;3;200;6255759;489716;489946;0,037037037;0,037037037;0,037037037;0,078282427;0,078319194
114;70;100;70;300;82;400;17141341;11940850;9936260;0,614035088;0,614035088;0,719298246;0,696611193;0,579666433
14;3;200;3;100;3;600;1497874;496444;512410;0,214285714;0,214285714;0,214285714;0,331432417;0,342091524
39;14;100;14;100;21;400;4841807;2910005;1923338;0,358974359;0,358974359;0,538461538;0,601016315;0,397235578
51;3;400;3;400;3;300;7114812;467713;489369;0,058823529;0,058823529;0,058823529;0,065737928;0,068781719
21;11;200;11;200;12;300;2628583;937580;788810;0,523809524;0,523809524;0,571428571;0,356686473;0,30008944
22;6;300;6;200;6;200;2995806;527181;549751;0,272727273;0,272727273;0,272727273;0,17597301;0,183506876
19;3;200;3;500;3;300;3031211;498300;493261;0,157894737;0,157894737;0,157894737;0,164389744;0,162727372
16;5;200;5;500;5;200;2454100;696297;705660;0,3125;0,3125;0,3125;0,283728047;0,287543295
31;3;200;3;100;3;300;4726805;466689;484579;0,096774194;0,096774194;0,096774194;0,098732442;0,102517239
42;10;300;10;200;11;200;3364274;987225;953119;0,238095238;0,238095238;0,261904762;0,293443697;0,283305997
28;6;300;6;200;6;300;5256949;1297210;1120630;0,214285714;0,214285714;0,214285714;0,246761001;0,213171176
35;27;600;27;200;29;300;5365099;3869016;3486848;0,771428571;0,771428571;0,828571429;0,721145313;0,649913077
25;12;200;12;200;12;500;3705357;1013945;1073398;0,48;0,48;0,48;0,273642999;0,289688146
41;6;200;6;200;6;200;6121268;647684;665668;0,146341463;0,146341463;0,146341463;0,105808796;0,10874675
28;21;200;21;200;21;200;4272598;3077260;3195251;0,75;0,75;0,75;0,720231578;0,747847328
16;3;100;3;200;3;200;2244077;465588;481732;0,1875;0,1875;0,1875;0,207474164;0,214668213
79;8;400;8;200;8;100;10316178;1023970;1059868;0,101265823;0,101265823;0,101265823;0,09925866;0,102738437
19;6;300;6;200;6;300;2827511;673551;683235;0,315789474;0,315789474;0,315789474;0,238213397;0,241638317
31;21;300;21;200;21;200;3944960;2798813;2882568;0,677419355;0,677419355;0,677419355;0,709465495;0,730696382
35;18;100;18;300;18;200;3486953;2223006;2286708;0,514285714;0,514285714;0,514285714;0,637521068;0,65578974
13;4;100;4;400;4;200;1826842;505454;507192;0,307692308;0,307692308;0,307692308;0,276681837;0,277633205
