expression; size; sliced on; sign slice; sign size 
(letrec* ((kf -22) (sroer 24)) (begin (/ (+ sroer 26) (+ sroer -16)) (set! sroer (- 27 -3)) (- 17 -26)));23;9;(letrec* ((sroer 24)) (begin (set! sroer (- 27 -3))));8
(let* ((xfcuq -8) (yzi -12)) (- -18 xfcuq));7;-24;(let* ((xfcuq -8)) '());3
(let ((tyc (begin 24 24 5)) (zn 4) (xecroq 28) (ff 15)) (/ -24 -29));12;-6;(let ((xecroq 28)) '());3
(let* ((zfbqk -26) (ma -10) (fyjpw 3) (m 8)) (+ (if (< m fyjpw) (if #t 4 (- -2 fyjpw)) (/ fyjpw fyjpw)) ma));24;-21;(let* ((fyjpw 3) (m 8)) '());4
(letrec* ((rutcj -18) (tsapv (if (< 8 -27) -24 15)) (dvz 27) (twck -25)) (/ rutcj tsapv));15;2;(letrec* ((dvz 27)) '());3
(let ((ln 25) (hxtpbq (if #t -21 -5)) (bhs (/ -17 9)) (ykcoje 30)) (begin (set! hxtpbq (begin (set! hxtpbq ykcoje) bhs)) (+ ykcoje ln) (set! ykcoje 11) (+ (/ hxtpbq bhs) 24)));30;-8;(let ((ln 25) (ykcoje 30)) '());4
(let* ((sfods (+ (let () 2) (begin -2 25))) (gzj 30) (oqyf (/ 7 6)) (bck 2)) (* -24 bck));18;19;(let* ((sfods (+ (let () 2) (begin 25))) (bck 2)) '());9
(let* ((lf 21) (xw -5) (fmcl (if #f -15 27)) (citff -5)) (+ -11 xw));12;-24;(let* ((lf 21)) '());3
(let* ((vkncvm (* (+ 6 (/ -15 -20)) -18)) (wsfzf (if (= -19 -14) (/ 29 -1) 2)) (o (+ -29 -9)) (jmsca -26)) -6);27;-9;(let* ((jmsca -26)) '());3
(letrec* ((bd -13) (r (/ (+ 26 -29) 18)) (yrnom (* -8 22)) (w 16)) -12);15;4;(letrec* ((bd -13)) '());3
(let ((hhj 18) (ujsxe 28)) (if #f -5 (if (< ujsxe ujsxe) -28 (let () 28))));14;3;(let ((ujsxe 28)) '());3
(let* ((p -22)) (if #t (- (+ -18 (if #f (/ (/ -28 -14) 2) p)) (* p -29)) (* 4 (+ (/ 17 p) (/ (/ (+ (* 1 -5) p) (+ p -8)) -1)))));48;-18;(let* ((p -22)) '());3
(let ((opau (+ -1 21)) (onbooq (begin 5 -6)) (gkwwk -13) (pdxi 4)) gkwwk);11;-3;(let ((onbooq (begin -6))) '());4
(let* ((l (let ((zulv -23)) (+ -10 (* (* 19 zulv) (- zulv (* zulv (+ -15 zulv))))))) (gj -20) (v (/ -24 -9)) (indvpn 11)) (* 9 -17));32;-6;(let* ((l (let ((zulv -23)) (+ -10 (* (* 19 zulv) (- zulv (* zulv (+ -15 zulv))))))) (v (/ -24 -9))) '());27
(let* ((isad (if #t (begin -30 20) -10)) (s 5) (ev 21) (gvk 3)) 7);11;-29;(let* ((gvk 3)) '());3
(let ((dwbjy 13) (tbj -9) (h 21)) (if (< -12 -16) (+ tbj h) (if (= (* -13 (+ 5 h)) -2) -15 (/ (- 2 4) -21))));32;6;(let ((dwbjy 13) (h 21)) '());4
(let* ((iolldb (begin -7 8)) (vdwtnq 2) (b 4)) (if (= 26 b) (if #f (let* () -21) (* -22 14)) (begin (set! b b) (/ (- vdwtnq 15) (+ -18 (+ -20 iolldb))) (* (* 12 -30) -8))));42;-8;(let* ((vdwtnq 2) (b 4)) '());4
(letrec* ((tgp (/ (if #t (* 5 -2) -13) (begin -30 18))) (iss (+ (if #t 23 13) (* -30 -8))) (cokwnm -12) (lj -1)) (if (< (/ -7 1) (- (- (- 30 (- 6 4)) 28) iss)) (+ (+ 0 (+ (* tgp -4) (* (- tgp -10) cokwnm))) -13) 10));65;27;(letrec* ((iss (+ (if #t 23 13) (* -30 -8))) (lj -1)) '());13
(let* ((yqvpr -15) (owsyhb (* 4 -20)) (xrp -11) (e -30)) (begin (- owsyhb yqvpr) e xrp xrp));16;-13;(let* ((e -30)) '());3
(let* ((rdh (* (if #f 5 14) 5)) (pwgt (begin 9 15)) (t (if #f 1 8)) (ki 27)) (* rdh t));20;-2;(let* ((t (if #f 1 8))) '());6
(let* ((dm (* 11 -14)) (b (begin -27 -10)) (j -30) (hcdn 7)) (+ (if (< dm (- j b)) (+ 3 (if #f (- hcdn 2) -6)) (* -11 dm)) (- (if (= (+ hcdn -27) dm) (+ 6 b) (* (* j -12) (- 25 (- 9 (+ 18 -18))))) (if (< (/ b j) -16) -11 -27))));74;-17;(let* ((dm (* 11 -14)) (b (begin -10)) (j -30) (hcdn 7)) '());10
(let* ((eemr (- (let () -13) (if #f -24 29))) (kgimil (+ -23 0)) (icmrba (/ -28 7)) (vrae -15)) (let ((vghrdl (/ (+ 2 (/ kgimil icmrba)) -27)) (imwxj eemr)) (if (< (/ (/ (- -6 21) -4) vghrdl) -4) (if #t 27 -16) -7)));49;-17;(let* ((eemr (- (let () -13) (if #f -24 29))) (kgimil (+ -23 0)) (icmrba (/ -28 7))) (let ((vghrdl (/ (+ 2 (/ kgimil icmrba)) -27))) '()));29
(let* ((j (+ -3 28)) (cn 1) (t (- -2 6)) (hfkgb 25)) (begin (set! cn (if #t (if #f cn (- t -15)) (+ -4 28))) (/ 3 t) 14 -6));32;27;(let* ((cn 1) (t (dummy -2)) (hfkgb 25)) (begin (set! cn (if #t (if #f cn (- t -15)) (+ -4 28)))));21
(letrec* ((hcue (- -21 25)) (oif 21) (udyvaz 6) (cv 16)) -17);9;4;(letrec* ((hcue (- -21 25))) '());6
(let* ((m (* (if #t 22 -3) (letrec* () 6))) (zib (if #t -20 3)) (kvqbgs (* -16 18)) (nsvb 6)) (if (= (+ 17 14) 29) (if (= -13 7) (+ (* -12 -16) -29) (+ -14 kvqbgs)) (if (= 9 -21) (let* () (+ nsvb zib)) (begin -13 (/ m -23)))));58;14;(let* ((m (* (if #t 22 -3) (letrec* () 6))) (kvqbgs (* -16 18))) '());14
(let* ((x (+ (if #f 3 (- -17 -18)) (+ (if #t -25 15) 29))) (ksggks 13) (gccj -5) (nmuxcj -13)) (/ -12 x));24;-1;(let* ((nmuxcj -13)) '());3
(let* ((bhp -15)) (if #t (begin -25 bhp -26) (if (= (/ bhp -13) bhp) (letrec* () bhp) (let () (- -3 (- (- (- 17 bhp) -24) -18))))));32;2;(let* ((bhp -15)) '());3
(let* ((lch 26) (glitxh (/ 10 14)) (dtnjrt 2)) (+ (/ dtnjrt 23) (- (if #f -13 glitxh) (begin -14 2))));22;0;(let* ((lch 26)) '());3
(let* ((jp (if #f (- (+ -1 -8) -10) (if #t -17 21))) (mzqcg (begin -9 -4)) (xwo 7) (txqt 20)) (+ -13 mzqcg));23;23;(let* ((txqt 20)) '());3
(letrec* ((xu (if #f (begin 14 7) (begin 13 -23))) (jjpt 19) (fp (if #t 7 -15)) (sn -29)) (if (< 11 -16) (+ 11 (+ (if #f xu -23) fp)) sn));31;-17;(letrec* ((sn -29)) '());3
(let* ((fbp (begin 22 13)) (epw 24) (yijn -2)) -4);7;-6;(let* ((fbp (begin 13))) '());4
(let* ((xdeelc -21) (dqo -30) (epmpbt -19)) (- (* epmpbt dqo) xdeelc));11;14;(let* ((epmpbt -19)) '());3
(let ((xzjxb (+ (* (- 6 -3) -20) (begin 5 -26))) (ahaiip 2) (nnyevt (* 4 9)) (cqcnh 25)) (begin (/ -15 ahaiip) (set! cqcnh 17) xzjxb nnyevt));28;1;(let ((ahaiip 2)) '());3
(let ((vxdn -12) (pbt (+ -10 6)) (iu 12)) (/ (if #f (begin (set! vxdn 26) 18) (+ 0 pbt)) (- -10 (- (if #f iu 13) (+ 27 iu)))));32;14;(let ((iu 12)) '());3
(letrec* ((fcigl (letrec* ((dkns -23)) (/ (* dkns -8) dkns))) (vllbg 22) (kqajxv 19) (qvcpl -1)) -1);14;17;(letrec* ((fcigl (letrec* ((dkns -23)) (/ (* dkns -8) dkns))) (vllbg 22)) '());12
(let* ((lvk (if #t -4 -8)) (soe (begin 19 -22)) (cdxbra (+ -29 -8)) (dlqk -18)) (if #f (* 18 (/ 24 15)) 11));23;-4;(let* ((lvk (if #t -4 -8))) '());6
(letrec* ((jst (if #f 9 (begin 2 25))) (pfmput 10) (wzrxw -27) (ba 0)) -2);11;19;(letrec* ((ba 0)) '());3
(letrec* ((kly (/ (* -25 -19) -13)) (jbl -11) (we 15)) (let* ((dho (- 6 jbl))) (if (< 7 (* 17 (* 8 (- 0 dho)))) 24 -29)));31;19;(letrec* ((jbl -11)) (let* ((dho (- 6 jbl))) '()));8
(letrec* ((pplu -1) (xltgk -7) (xzrjzy (+ 23 26)) (li 28)) (begin (set! pplu (- 0 pplu)) (set! pplu xzrjzy) (* 3 xltgk)));20;-14;(letrec* ((pplu -1) (xzrjzy (+ 23 26))) (begin (set! pplu (- 0 pplu))));12
(let* ((bjh (if #t (begin 24 14) 1)) (qelg 4) (xrzpx (+ 24 -6)) (de -28)) bjh);14;3;(let* ((de -28)) '());3
(let* ((mp (/ -25 (begin 1 24))) (tz (if #f 23 -17)) (cunap (if #t -3 -23)) (zwwz -28)) (+ 11 -29));20;-23;(let* ((tz (if #f 23 -17))) '());6
(letrec* ((khxd -13) (eff -13) (phlq 13) (yz -29)) (/ (begin (+ eff -21) (set! yz 14) 11) (+ -2 (* -8 (+ (/ -25 eff) (/ yz (/ (/ (- khxd -12) (/ (/ eff yz) 12)) 9)))))));46;-25;(letrec* ((khxd -13) (eff -13) (yz -29)) (/ (begin (set! yz 14) 11) (+ -2 (* -8 (+ (/ -25 eff) (/ yz (/ (/ (- khxd -12) (/ (/ eff yz) 12)) 9)))))));41
(let* ((zedk -26) (x (if #f 13 -2)) (mgatio -20)) (let* ((mjiocx x)) (/ (/ (+ 14 (/ zedk x)) (+ mjiocx x)) 2)));25;-7;(let* ((x (if #f 13 -2))) '());6
(let ((psc 0)) (let* ((h 3) (mkmz psc)) psc));6;26;(let ((psc 0)) (let* ((mkmz psc)) '()));5
(let ((hdtf -28) (mbu (/ 26 24)) (ntbdo 7)) hdtf);8;30;(let ((hdtf -28)) '());3
(let ((y (/ 26 -4)) (jkdeku -21) (wi 24)) 29);8;-15;(let ((y (/ 26 -4))) '());6
(let* ((mmxax 10) (tbnnxt (* 10 -9)) (iaqw -18) (nmfzc 27)) tbnnxt);9;-15;(let* ((tbnnxt (* 10 -9))) '());6
(let ((bcazgl -8) (kkr 11) (mdn (if #f -3 -7)) (fglxes -26)) kkr);9;9;(let ((kkr 11)) '());3
(let* ((ij -29) (bvei -4) (cjbsd 30)) 18);5;-1;(let* ((cjbsd 30)) '());3
(let* ((j (let* ((b -4)) 27)) (o (/ -25 -22)) (i -2) (v 22)) v);11;30;(let* ((j (let* () 27)) (i -2)) '());5
(let* ((fw 21) (zmp 22)) (begin (begin (set! fw 0) fw) (set! zmp (/ (* -15 -6) -26)) -23 (- (/ 29 (/ zmp (- (+ (* 14 zmp) zmp) fw))) 2)));36;-19;(let* ((zmp 22)) (begin (set! zmp (/ (* -15 -6) -26))));11
(let* ((kmnxu (/ -12 -7)) (vrr 15)) (if #f kmnxu (let* ((kp -15)) -30)));12;16;(let* ((vrr 15)) '());3
(let* ((f (* -24 5)) (qg 22) (jvyfuc 28) (cfja 6)) (begin (if #f (- f 1) jvyfuc) (* 25 -11) 9 f));22;-7;(let* ((qg 22)) '());3
(let* ((bbebp (begin -23 4 -9)) (xeopgb (let* () -30)) (s -23) (i -28)) 16);10;-29;(let* ((xeopgb (let* () -30)) (i -28)) '());5
(let* ((n -30) (hnhc (begin -22 30)) (mbg 22) (ogebc 20)) (if (< hnhc -28) (begin n -7 n) (if #t (/ n 0) (/ hnhc -18))));26;4;(let* ((n -30) (hnhc (begin 30))) '());5
(letrec* ((nwxzo (- 23 6)) (i (/ 17 -16)) (unoe -14)) i);11;6;(letrec* ((nwxzo (- 23 6))) '());6
(let* ((i 12) (feizv 8)) (- (- (+ (* (+ (/ (* i 3) feizv) i) (* (- (/ (- 6 (- (- 1 -23) -5)) 14) (+ i 21)) -9)) (+ -2 i)) -17) -26));49;-6;(let* ((i 12)) '());3
(let* ((v 30)) (let ((pd v)) (+ v pd)));8;-22;(let* ((v 30)) '());3
(let ((n -23) (eegx -15) (i (+ -12 -30)) (qent 28)) (+ eegx i));12;28;(let ((n -23)) '());3
(letrec* ((jm (begin -8 3 -15)) (lz 5) (c -26) (fhd -12)) (begin (+ jm -23) 2 (+ (+ (+ fhd c) (- lz (- (+ (+ c jm) 24) fhd))) -14)));36;-21;(letrec* ((fhd -12)) '());3
(letrec* ((gbza (+ -17 -13)) (s 3) (iwdvvb -10)) (* (begin 23 (* iwdvvb gbza) s) 16));17;30;(letrec* ((gbza (+ -17 -13))) '());6
(let ((yeuzf (* (begin -1 11) (* -29 -26))) (phbg (letrec* () -18)) (thhgjq 12) (dp -29)) (+ -17 (* phbg (if #t (/ (* (+ thhgjq dp) (- phbg (+ phbg phbg))) -30) (+ -4 (/ -22 28))))));45;11;(let ((phbg (letrec* () -18)) (dp -29)) '());5
(letrec* ((jo -29) (uud 14) (hi -20)) (if (< -13 -23) 8 (/ (begin uud (* 24 13)) (if (= jo jo) (if #t 19 jo) jo))));28;26;(letrec* ((jo -29) (hi -20)) '());4
(letrec* ((w (if #t (if #f 5 -2) -27)) (dsbr (if (< -29 22) -13 -2)) (x 15) (nwfs 15)) (if #t (+ (if #f (+ (- 3 dsbr) -21) w) (begin (set! nwfs 27) (- 23 x))) 14));39;20;(letrec* ((w (if #t (if #f 5 -2) -27))) '());9
(let* ((aaopn (/ 9 -27)) (zmadf -28) (jbplul -12) (wmplu -22)) (- (+ (/ -7 (if #f (/ (+ -29 -27) (+ -24 jbplul)) 1)) (if (< (- (* -16 15) -27) -14) (+ -23 4) (if #t (/ jbplul 28) 19))) -2));51;-25;(let* ((wmplu -22)) '());3
(letrec* ((qil (if #t (if #t 2 26) (if #f -17 15))) (qp (if #t -10 -28)) (v 18)) -20);17;-11;(letrec* ((qp (if #t -10 -28))) '());6
(let ((alo (if #t 2 25)) (cgfna -28)) (/ (- (let* () 2) (begin (set! alo alo) 4)) (if #t (begin cgfna (/ 21 22)) (begin (set! alo (/ -7 cgfna)) 0))));31;8;(let ((alo (if #t 2 25)) (cgfna -28)) (/ (- (let* () 2) (begin (set! alo alo) 4)) (if #t (begin (/ 21 22)) (begin (set! alo (/ -7 cgfna)) 0))));30
(let ((w 12) (mlp (/ 18 30)) (nt 12) (m -12)) (if (< 30 0) mlp -19));15;-12;(let ((w 12)) '());3
(let ((zdmz (begin 8 14)) (kxzbg (if (< -1 -25) (- -19 -26) 0)) (vhl 27) (gs 8)) vhl);17;20;(let ((zdmz (begin 14))) '());4
(letrec* ((igzowm 28) (eix -13) (gkcmy (if #t 25 -11)) (g -17)) (begin (set! gkcmy g) igzowm eix (* 8 igzowm)));17;18;(letrec* ((gkcmy (dummy 2)) (g -17)) (begin (set! gkcmy g)));8
(let* ((ab (if #f (/ 21 (if #t -2 -13)) (let* () 2))) (mezjh (begin -15 -19)) (qzce (+ 3 -16)) (gcyuax 5)) (- (begin (set! ab qzce) mezjh) (- (if (< (+ -22 gcyuax) -14) (* 17 -11) (+ qzce -21)) (begin (* 21 (+ gcyuax (- (- -22 mezjh) ab))) ab))));59;1;(let* ((ab (if #f (/ 21 (if #t -2 -13)) (let* () 2))) (mezjh (begin -19)) (gcyuax 5)) '());16
(let ((n -28) (zzj -18) (wcomgn -29) (jryrlq -18)) (if (= -15 jryrlq) -1 (- (begin (* -22 n) (+ n -19)) 28)));23;-30;(let ((wcomgn -29) (jryrlq -18)) '());4
(let ((elnq 10) (bqqcig (begin 27 12)) (s 14) (juah 26)) (begin (set! elnq -19) -1 (- (/ -25 s) (- (- 24 5) -1)) -30));25;-2;(let ((s 14)) '());3
(let ((zqm (begin 24 -4 -6)) (xe -15) (pjregy -4) (fdclhc -5)) 15);9;-27;(let ((xe -15)) '());3
(letrec* ((tf 2) (nfrkhp -16) (wyipwx (- -8 26)) (ut 10)) (/ (begin (if #t -29 9) -22 -12) (begin (set! ut ut) (* (/ tf -24) nfrkhp) (+ (+ tf -11) (/ (- -7 (- 16 (* -9 -24))) ut)))));46;14;(letrec* ((tf 2) (wyipwx (- -8 26)) (ut 10)) (/ (begin -12) (begin (set! ut ut) (+ (+ tf -11) (/ (- -7 (- 16 (* -9 -24))) ut)))));33
(let ((rmiij (let* ((serz 8)) (if #t serz serz))) (yrmtg -14) (su 26) (zle -19)) (/ (/ (begin 28 30) -23) (* yrmtg 25)));22;30;(let ((rmiij (let* ((serz 8)) (if #t serz serz))) (su 26)) '());9
(letrec* ((zygyk -25) (gnbc (+ -8 4)) (ix 20) (jwsovw 6)) (begin (set! gnbc gnbc) (set! zygyk -21) zygyk (/ (+ gnbc zygyk) (- (/ -28 jwsovw) -10))));27;13;(letrec* ((gnbc (+ -8 4))) (begin (set! gnbc gnbc)));8
(let ((d (* -25 -30)) (iharhn -26) (safq (- -3 -27)) (yrfhl -9)) -9);12;-14;(let ((safq (- -3 -27))) '());6
(let* ((u 29) (jqhjzd (if #f -5 -30)) (mzqf (/ -3 24)) (ytbist -11)) (+ (* (if #f (- (- (/ -2 21) u) u) 29) (/ (- u -19) jqhjzd)) (- (/ -20 30) jqhjzd)));42;-9;(let* ((ytbist -11)) '());3
(let* ((pg 20) (s 29) (ii 21) (rgpxo 21)) (let* ((y (- 23 -8))) (+ 29 (/ ii -13))));17;-30;(let* ((pg 20)) '());3
(letrec* ((v -15) (tz 1) (gvrq 13) (arlhc 14)) (+ -22 12));9;4;(letrec* ((v -15)) '());3
(letrec* ((vbko (if #f -29 (/ (+ -2 14) -11))) (i (- (- 25 8) (if #f -10 -7))) (wblcuk (+ 0 -10)) (r -14)) r);27;-13;(letrec* ((r -14)) '());3
(let* ((u -4) (urmo 29) (lsw (if #t 21 13)) (bdw -5)) 21);9;20;(let* ((u -4)) '());3
(let ((bmelw 6) (qctcwr -16) (riry -12)) (begin (set! bmelw riry) (set! riry (+ (* (/ (* riry 1) (+ -10 -17)) 15) -30)) 0 30));26;3;(let ((bmelw 6) (riry -12)) (begin (set! bmelw riry) (set! riry (+ (* (/ (* riry 1) (+ -10 -17)) 15) -30))));23
(letrec* ((ojcoxk (- 28 19)) (s -14)) (* (begin (set! s -28) 19 -11) (- 17 (let* () 16))));18;-26;(letrec* ((ojcoxk (- 28 19))) (* (begin -11) (- 17 (let* () 16))));14
(letrec* ((s (if #f (begin -7 -14) -26)) (yt (let* () -5)) (ttd (if #t -10 -28)) (ajr 7)) (if (= ttd s) (* (if #f (* (/ 25 ajr) -28) (if #f -28 (- -17 -21))) (* (/ -15 ajr) ajr)) 1));45;25;(letrec* ((s (if #f (begin -14) -26)) (yt (let* () -5)) (ttd (if #t -10 -28))) '());13
(let* ((dm (* -6 (- (* 11 20) -21))) (lupoz -16) (fl (if #f -19 24)) (cqtx -19)) (begin lupoz (+ (+ 17 lupoz) -27) fl -19));28;-29;(let* ((cqtx -19)) '());3
(let* ((j -29) (ymh 24) (sf -25)) (begin (+ j -11) (* ymh 21) (- sf 30) -4));18;-30;(let* ((j -29)) '());3
(let* ((ane (begin -16 -29)) (bwgyud 22) (bl -10)) (/ -27 (begin 21 23)));12;17;(let* ((bl -10)) '());3
(let ((fxhcn (if #t (let* () 12) (if #f -18 -2))) (dh (begin 19 9)) (yneyf -25) (umpz -26)) (begin (begin (set! yneyf fxhcn) -13) 20 (set! yneyf dh) (+ (/ -20 dh) (/ fxhcn -23))));32;22;(let ((fxhcn (if #t (let* () 12) (if #f -18 -2))) (dh (begin 9)) (yneyf -25)) (begin (set! yneyf dh)));15
(let ((becpe 21) (sya -21) (iz 27)) (- 12 (+ (- (/ (/ (+ (+ becpe -23) 14) (- (* (/ sya sya) (/ iz (- (/ iz -15) (+ 20 -29)))) (/ 9 12))) iz) 2) becpe)));50;15;(let ((becpe 21)) '());3
(let* ((p -23) (fhc -20) (lyw -28)) (* (+ (+ 21 1) (/ (/ -22 (- 18 fhc)) (+ p 19))) (* lyw (begin (set! lyw p) 21))));32;-4;(let* ((p -23) (fhc -20) (lyw -28)) (* (+ (+ 21 1) (/ (/ -22 (- 18 fhc)) (+ p 19))) (* lyw (begin (set! lyw p) 21))));32
(let* ((zeax (* 26 (/ -3 -12))) (webgwx 29) (dqk (+ -14 -30)) (ohhkmo -26)) webgwx);15;21;(let* ((webgwx 29)) '());3
(letrec* ((d 16) (wxbp (if #t 19 -15)) (xfnc -10) (h 15)) (- 13 (begin (set! d xfnc) (- -10 -13) (- (+ 9 (/ h wxbp)) (* -7 12)))));31;5;(letrec* ((wxbp (if #t 19 -15))) '());6
(let ((vsuid -5) (nv -3) (p -3) (un 9)) (* (begin (/ -30 p) -30 24) -4));15;18;(let ((p -3)) '());3
(let ((hue (+ -11 (/ (if #t 30 6) -19))) (p -30) (dxput -12) (utdnh 29)) (* 19 (/ (/ dxput utdnh) p)));24;25;(let ((p -30)) '());3
(let* ((buo (begin 27 15)) (tsqhjo (* -29 15)) (tzahd 16)) (begin (set! tsqhjo (if (= -25 (- (- tzahd tsqhjo) (- -6 12))) (if #t (* (+ tsqhjo tsqhjo) 24) 28) buo)) (- tzahd buo) (set! buo 15) tzahd));43;29;(let* ((buo (dummy 2)) (tsqhjo (dummy -2)) (tzahd 16)) (begin (set! tsqhjo (if (= -25 (- (- tzahd tsqhjo) (- -6 12))) (if #t (* (+ tsqhjo tsqhjo) 24) 28) buo))));35
(let* ((ki -10) (gcg 3) (aweb -2)) (+ (/ 11 (/ (/ (* gcg aweb) gcg) aweb)) gcg));20;3;(let* ((ki -10)) '());3
(let ((ub (+ (begin -17 -2) 19)) (lq (- (if #f -11 -25) 26)) (mvo (if #t -17 -19)) (edplk 18)) 12);20;10;(let ((mvo (if #t -17 -19))) '());6
(let* ((bobvsc (/ (+ 11 30) 9)) (tbzmnn (/ -6 9)) (fj -23)) (begin -5 (* bobvsc fj)));19;1;(let* ((tbzmnn (/ -6 9))) '());6
(let* ((t 11) (jgm (- 21 (* 4 27))) (fgt (if #t -9 3)) (gd -21)) (let ((cdho 25) (i fgt)) -30));18;26;(let* ((fgt (if #t -9 3))) '());6
(let* ((zdnjgn (- 14 2)) (li -21)) (begin -7 -5));9;19;(let* ((li -21)) '());3
(let* ((r (if #t (begin 7 21) -8)) (thhh (+ -25 -12)) (xmtxiq (- 17 2)) (u -24)) u);17;2;(let* ((xmtxiq (- 17 2))) '());6
(let* ((eavfem -12) (soh 27)) (- (* 10 6) (- 29 (begin (set! soh (* (/ 23 (+ (/ eavfem (* -16 -30)) soh)) eavfem)) 2))));31;-5;(let* ((eavfem -12) (soh 27)) (- (* 10 6) (- 29 (begin (set! soh (* (/ 23 (+ (/ eavfem (* -16 -30)) soh)) eavfem)) 2))));31
(letrec* ((uip -27) (rrq (+ -15 -23)) (rtruev -6)) (- 0 (if #t 27 (/ rrq (- 4 18)))));20;20;(letrec* ((rtruev -6)) '());3
(letrec* ((exam 8) (nxwpj 14)) (- nxwpj 27));7;-17;(letrec* ((nxwpj 14)) '());3
(let* ((q -1) (dygo -21) (a (if #f 6 7)) (uswioc 15)) (if #f -20 (/ (/ uswioc a) (begin (- (- (+ 5 (/ dygo a)) 30) -17) 15))));32;-1;(let* ((uswioc 15)) '());3
(let ((xdxn (if #f (begin 22 -13) (let () 1))) (rtsajg 4) (db (+ -18 -6)) (n 1)) (letrec* ((gsxk (/ (- xdxn rtsajg) 9))) -2));23;-21;(let ((xdxn (if #f (begin -13) (let () 1))) (rtsajg 4)) (letrec* ((gsxk (/ (- xdxn rtsajg) 9))) '()));17
(letrec* ((hjm -22) (ca (if #f 20 23)) (kkaqru 13)) (begin (set! kkaqru (- 7 kkaqru)) (/ hjm -8) -10 1));19;-14;(letrec* ((ca (if #f 20 23)) (kkaqru 13)) (begin (set! kkaqru (- 7 kkaqru))));12
(let* ((tquj 10) (ovq 23)) (begin (set! tquj (begin (set! ovq (/ tquj 27)) ovq)) (set! tquj (if #f -9 tquj)) ovq 25));19;10;(let* ((tquj 10) (ovq 23)) (begin (set! tquj (begin (set! ovq (/ tquj 27)) ovq)) (set! tquj (if #f -9 tquj))));17
(let* ((jtbrhi (let* ((jrw -19)) (* 15 (+ 27 -6)))) (cwuk -29) (jxb 19) (wfioeo 11)) 16);14;-17;(let* ((jtbrhi (let* () (* 15 (+ 27 -6)))) (wfioeo 11)) '());11
(let* ((dgs (if #t -11 (+ 13 29))) (ujb -18) (pwtka 7)) 30);11;2;(let* ((pwtka 7)) '());3
