expression; size; sliced on; sliced expression; sliced size
(let ((eq (begin -5 13)) (fro 18) (dk -5)) (begin (* eq 1) (set! dk (* eq -19)) (set! eq (- (+ dk -9) 28)) (- -10 (+ -1 dk))));31.0;eq;(let ((eq (begin 13)) (dk (dummy 1))) (begin (set! dk (* eq -19)) (set! eq (- (+ dk -9) 28))));20.0
(let ((jcd (if #t -30 21)) (cjjux 26) (qfr 29)) (begin (set! jcd cjjux) -1 (set! cjjux jcd) cjjux));14.0;cjjux;(let ((jcd (dummy 2)) (cjjux (dummy 2))) (begin (set! cjjux jcd)));10.0
(let* ((iqz 30)) (begin (set! iqz (* (- -22 iqz) -2)) (set! iqz (* (/ iqz (+ 6 4)) -24)) -2 20));24.0;iqz;(let* ((iqz 30)) (begin (set! iqz (* (- -22 iqz) -2)) (set! iqz (* (/ iqz (+ 6 4)) -24))));22.0
(let* ((e 30) (j 19) (ttydd 6) (rflm 12)) (- (begin (set! ttydd (+ rflm (+ 10 (- rflm 18)))) (set! ttydd (- 1 16)) j) -2));26.0;e;(let* ((e 30)) '());3.0
(let* ((lxqfg (- (* 17 -17) -11)) (t -27) (rvt 18) (c 19)) (if #t (begin (set! lxqfg rvt) (+ (+ 23 23) (+ -22 16)) 10) (if (= -22 -27) 17 (begin (set! t c) 5))));37.0;c;(let* ((c 19)) '());3.0
(let* ((et (if #t 21 -17)) (zqhwx -3)) (begin (* 2 (if #f 6 zqhwx)) (set! et et) (set! et -4) et));19.0;et;(let* ((et (dummy 1))) (begin (set! et et) (set! et -4)));9.0
(let ((wel (* (if #t 26 (/ 4 6)) 6)) (zmtvsi (if (= -4 15) -9 (/ 3 -30))) (sxvo -13) (fj 20)) (begin (set! fj (- sxvo zmtvsi)) (set! zmtvsi (* (+ zmtvsi wel) 15)) -3 sxvo));39.0;fj;(let ((wel (dummy 2)) (zmtvsi (if (= -4 15) -9 (/ 3 -30))) (sxvo -13) (fj 20)) (begin (set! fj (- sxvo zmtvsi)) (set! zmtvsi (* (+ zmtvsi wel) 15))));30.0
(let* ((uggf 24) (qpw -2) (vexe (+ -8 15)) (qu -4)) (if #t (begin (set! uggf qpw) (set! uggf vexe) vexe) (+ (begin vexe 5) (let* () vexe))));23.0;uggf;(let* ((uggf 24) (qpw (dummy 2)) (vexe (dummy 1))) (if #t (begin (set! uggf qpw) (set! uggf vexe)) (+ (begin 5) (let* () vexe))));21.0
(let* ((ka -10) (xyeb 22) (eif (+ -8 -8)) (npalol -17)) (begin (set! npalol (if (< xyeb -16) (- xyeb 28) (* -27 (* (+ 23 (- ka (+ -22 npalol))) npalol)))) (set! npalol eif) eif -12));39.0;ka;(let* ((ka -10) (xyeb (dummy 2)) (npalol -17)) (begin (set! npalol (if (< xyeb -16) (- xyeb 28) (* -27 (* (+ 23 (- ka (+ -22 npalol))) npalol))))));33.0
(let ((b (begin -2 -25)) (tb (begin 15 1)) (autc -14) (con 4)) (/ (begin (set! con (/ -3 tb)) (set! con (* -18 -15)) (* b con)) (let* ((oufxcj (+ b autc))) (if #t tb -10))));35.0;tb;(let ((b (dummy 1)) (tb (begin 1)) (con (dummy 2))) (/ (begin (* b con)) (let* () (if #t tb -10))));21.0
(letrec* ((ujvg -29) (n -19)) (if #t (begin (set! n -20) (set! ujvg (* (- 17 6) (* ujvg ujvg))) -23) (if #t (- (if #t ujvg (+ -26 (- 12 26))) (- (+ (/ 25 24) 12) -2)) (/ (/ n -19) (- ujvg 4)))));54.0;ujvg;(letrec* ((ujvg -29)) (if #t (begin (set! ujvg (* (- 17 6) (* ujvg ujvg)))) '()));17.0
(let ((ipxf -19)) (begin (+ -18 ipxf) (set! ipxf ipxf) (set! ipxf 14) ipxf));12.0;ipxf;(let ((ipxf (dummy 1))) (begin (set! ipxf ipxf) (set! ipxf 14)));9.0
(let* ((igrgr (* (letrec* () -11) (begin 7 -20))) (cw (if (= -28 14) 0 (if #t -20 -16))) (dvu 0) (i -23)) (begin (set! igrgr i) (set! dvu -1) -11));26.0;i;(let* ((igrgr (* (letrec* () -11) (begin -20))) (i -23)) '());9.0
(let* ((mrrr -9) (rh 4)) (/ (begin (set! rh (if #f (- 28 rh) rh)) (set! mrrr 4) (+ (+ -30 -9) (+ (* rh mrrr) (- -1 mrrr)))) 26));33.0;mrrr;(let* ((mrrr (dummy 1)) (rh (dummy 2))) (/ (begin (set! rh (if #f (- 28 rh) rh)) (set! mrrr 4) (+ (+ -30 -9) (+ (* rh mrrr) (- -1 mrrr)))) 26));37.0
(let* ((efmbqz (+ -18 -11)) (k 14)) (/ (begin (set! k (if #f -20 k)) (set! k -26) 25) (let* ((uxo k)) (+ efmbqz (/ -30 (/ 26 -6))))));29.0;k;(let* ((efmbqz (dummy 1)) (k (dummy 2))) (/ (begin (set! k (if #f -20 k)) (set! k -26) 25) (let* () (+ efmbqz (/ -30 (/ 26 -6))))));29.0
(let* ((uipku (if #f (begin 10 29) (letrec* () 6))) (k (let () -12)) (bwwu (- -10 -1)) (y -18)) (begin (set! y (+ -1 bwwu)) 13 (set! bwwu 2) -5));25.0;bwwu;(let* ((uipku (if #f (begin 29) (letrec* () 6))) (k (let () -12)) (bwwu (dummy 1))) (begin (set! bwwu 2)));15.0
(letrec* ((cuv -9) (jcr (begin -9 -24)) (vftm 10) (qknth -19)) (if (< qknth jcr) (begin (set! vftm cuv) (set! jcr (/ 25 -2)) (* 8 -17)) -13));25.0;vftm;(letrec* ((cuv (dummy 1)) (jcr (begin -24)) (vftm 10) (qknth -19)) (if (< qknth jcr) (begin (set! vftm cuv)) '()));17.0
(let* ((aeu 2) (hsef -4)) (begin (set! aeu (/ -11 -22)) aeu (set! aeu 8) 12));13.0;aeu;(let* ((aeu (dummy 2))) (begin (set! aeu 8)));7.0
(let* ((fgimpm (* -3 -14)) (ixmw -18)) (begin (set! ixmw ixmw) (* (+ fgimpm -21) (- ixmw -23)) (set! fgimpm ixmw) (/ fgimpm 4)));25.0;fgimpm;(let* ((fgimpm (dummy 2)) (ixmw (dummy 2))) (begin (set! fgimpm ixmw)));10.0
(let ((upld (if #t 23 (begin 1 4))) (ybsr -23) (mx -10) (d 23)) (begin (* -20 (if #f (- (+ 28 (/ mx (* -20 (+ 1 (- -22 -15))))) 4) 29)) (set! ybsr -7) (set! ybsr -25) -4));41.0;ybsr;(let ((ybsr (dummy 1))) (begin (set! ybsr -7) (set! ybsr -25)));9.0
(let ((glzp (/ 14 -14)) (jtdmgi (begin -12 7)) (n (if #f 1 27)) (hnw -11)) (begin (+ -9 19) (set! n (/ 13 -7)) (set! glzp 0) (+ (- (+ (/ -29 14) (/ (- 12 -17) 14)) -13) hnw)));44.0;hnw;(let ((hnw -11)) '());3.0
(let ((elqic (* -17 (+ 26 27))) (ayrymg -2) (tbmq 17) (ut 15)) (begin (set! ut (if (< tbmq (/ tbmq 9)) (/ elqic (- 3 (/ 27 (- -7 (* 30 1))))) -29)) 9 (set! tbmq 27) -16));42.0;ayrymg;(let ((ayrymg -2)) '());3.0
(let* ((wobsmp 16) (le (begin 2 -30)) (oe 21) (cltcd -4)) (begin (begin (set! wobsmp (* -9 (- -26 (* (* (/ (* 9 -7) -7) cltcd) (/ (+ -27 oe) (/ 28 oe)))))) cltcd) (set! cltcd (if #f 8 oe)) (+ (* 9 cltcd) le) (- 15 le)));55.0;cltcd;(let* ((oe (dummy 1)) (cltcd -4)) (begin (set! cltcd (if #f 8 oe))));11.0
(let* ((ua (+ 26 -17)) (c (begin 28 -16)) (i 12) (wmruof 21)) (if #f (begin (- wmruof ua) (set! i wmruof) 6) (if #f (begin (set! ua (/ (- (/ -10 -3) 14) c)) 10) (+ -15 (if #f i ua)))));42.0;wmruof;(let* ((wmruof 21)) '());3.0
(let* ((e (if #t (if #f (/ 0 24) (+ -20 -13)) (if #t (if #t 6 14) (- -22 28)))) (vreuq 12) (x (if #t -27 -16)) (ta 28)) (begin (set! x (- (if #f 19 -29) -2)) (set! x x) 8 x));42.0;x;(let* ((x (dummy 1))) (begin (set! x (- (if #f 19 -29) -2)) (set! x x)));15.0
(let* ((np -14) (sxmg 8) (hz (if #t 15 14)) (pzduto 6)) (+ (begin (set! np hz) (set! sxmg -30) 13) (if (= -7 (+ 23 13)) -28 (begin (set! np -5) 17))));29.0;hz;(let* ((hz (if #t 15 14))) '());6.0
(letrec* ((dp -12) (kxxf (- -2 25)) (pjad 25)) (begin (begin (set! pjad -22) 30) (/ dp (- pjad -14)) (set! dp (/ 25 (* pjad 5))) 12));28.0;pjad;(letrec* ((pjad 25)) (begin (begin (set! pjad -22))));6.0
(let* ((pauqd 14) (pxnk (/ -23 (if #f 6 10))) (guo -6) (g -10)) (begin (set! g 23) (set! g (- 19 (/ -26 9))) (set! pauqd g) -6));25.0;g;(let* ((g (dummy 2))) (begin (set! g 23) (set! g (- 19 (/ -26 9)))));15.0
(let ((ybdekk 3) (x -21) (neuof -15) (zrjduf -15)) (begin (set! zrjduf -5) (set! ybdekk x) -3 19));12.0;neuof;(let ((neuof -15)) '());3.0
(let* ((k (/ 30 -24)) (jhjavr 23)) (begin (set! jhjavr (* (- jhjavr 10) (* (/ k (- k -23)) (* -30 jhjavr)))) (set! jhjavr (+ k k)) 26 (- (* 14 (* jhjavr -15)) (+ jhjavr k))));46.0;jhjavr;(let* ((k (/ 30 -24)) (jhjavr 23)) (begin (set! jhjavr (* (- jhjavr 10) (* (/ k (- k -23)) (* -30 jhjavr)))) (set! jhjavr (+ k k))));32.0
(letrec* ((txz (- 4 (if #f (* -28 1) -25))) (ommtm (if #t -13 (if #f -19 10))) (p 28) (t -12)) (begin (set! ommtm (/ t ommtm)) (set! txz (/ p t)) -20));32.0;t;(letrec* ((ommtm (dummy 1)) (t -12)) (begin (set! ommtm (/ t ommtm))));11.0
(letrec* ((gwoj (begin 15 23 27)) (zl (/ (/ 25 30) (/ -29 -30))) (yucak 1) (qv 20)) (+ (begin (set! qv (/ zl (/ 10 yucak))) (set! zl -22) (* (- qv 26) (/ (- qv qv) gwoj))) (let* ((gcrmy -16)) (+ 5 (+ (* yucak 17) (* -25 yucak))))));58.0;yucak;(letrec* ((gwoj (dummy 1)) (yucak 1) (qv (dummy 2))) (+ (begin (* (- qv 26) (/ (- qv qv) gwoj))) (let* () (+ 5 (+ (* yucak 17) (* -25 yucak))))));38.0
(let* ((rllgs 12) (qge 19) (at 16) (ctpf -1)) (if (= rllgs -1) (if (< (/ (* (* (+ (- qge (/ (* (* (+ (* 22 rllgs) (* rllgs ctpf)) (- (+ (/ 29 -25) -4) at)) at) -18)) (* at -26)) ctpf) (/ -18 -5)) 13) rllgs) (begin (set! qge ctpf) 11) (/ (* (- 5 20) (+ (- (+ -2 (- rllgs 14)) 22) 10)) (- rllgs -7))) (- (begin (set! rllgs 13) 17) (begin at 23))));101.0;ctpf;(let* ((rllgs 12) (qge 19) (at 16) (ctpf -1)) '());6.0
(let* ((f (/ (begin 4 4) -24)) (uhdtw 25) (tmnnnq (/ -14 12)) (bdr 30)) (+ (* bdr (begin (set! tmnnnq bdr) -22)) (begin (+ uhdtw tmnnnq) (set! tmnnnq tmnnnq) -19)));30.0;uhdtw;(let* ((uhdtw 25)) '());3.0
(let* ((ivyp (- (/ -19 -13) (* 27 26))) (giym -21) (sjq -23)) (begin (set! sjq (begin (set! ivyp 10) -24)) (+ 10 (* (* -30 ivyp) (/ (/ 28 (- (- (+ -5 -19) (/ -4 10)) (+ -16 -2))) (+ (- -23 sjq) giym)))) (set! giym (- ivyp ivyp)) -28));62.0;sjq;(let* ((ivyp (- (/ -19 -13) (* 27 26))) (sjq -23)) (begin (set! sjq (begin -24))));16.0
(let* ((sbza (begin 28 -23)) (ud (begin 8 4)) (vdiy 8) (st 15)) (begin (set! ud (let () -15)) (set! vdiy (- (* (+ -7 -6) vdiy) 4)) (- -6 (* (- -22 -12) vdiy)) -23));35.0;vdiy;(let* ((ud (dummy 2)) (vdiy 8)) (begin (set! ud (let () -15)) (set! vdiy (- (* (+ -7 -6) vdiy) 4))));20.0
(let ((wg (* (if #t 8 -11) (if #f 15 (- -7 -23)))) (gpvgvb (begin 18 25)) (dt (+ 29 -9)) (n 13)) (begin (let* () (- -8 gpvgvb)) (set! wg (if #t (- (+ -13 10) dt) (- (- n gpvgvb) n))) (set! dt (* dt dt)) 11));51.0;wg;(let ((wg (dummy 2)) (gpvgvb (begin 25)) (dt (+ 29 -9)) (n 13)) (begin (set! wg (if #t (- (+ -13 10) dt) (- (- n gpvgvb) n)))));29.0
(letrec* ((n (+ (let* () 16) 11)) (lkkz -21) (p 28) (poz 6)) (begin (set! lkkz (* 20 poz)) 14 (set! lkkz poz) (- 21 (/ (- -30 20) poz))));28.0;poz;(letrec* ((n (+ (let* () 16) 11)) (poz 6)) '());8.0
(let* ((dcxbpg (begin -4 17)) (fjrp -4) (m -20)) (begin (set! m (begin m (/ 22 (/ (+ (+ (- (- (/ fjrp fjrp) (+ m m)) (* fjrp dcxbpg)) -7) 7) dcxbpg)))) (set! m -8) 21 -28));42.0;m;(let* ((dcxbpg (dummy 1)) (fjrp (dummy 2)) (m -20)) (begin (set! m (begin (/ 22 (/ (+ (+ (- (- (/ fjrp fjrp) (+ m m)) (* fjrp dcxbpg)) -7) 7) dcxbpg)))) (set! m -8)));41.0
(letrec* ((e (+ (if #f 23 -9) 17)) (kqn (if #t -20 8)) (un -6)) (if #t (begin (set! e -19) (set! kqn -29) kqn) 6));22.0;kqn;(letrec* ((kqn (if #t -20 8))) (if #t (begin (set! kqn -29)) '()));11.0
(let* ((gsq -9) (azh 15) (xg -6)) (begin (set! xg (/ (+ 4 -16) azh)) (set! gsq azh) (* 1 xg) -13));20.0;azh;(let* ((azh 15)) '());3.0
(letrec* ((n (if #f 10 (/ 14 -2))) (elucyn -24) (sy 30)) (* (begin (+ (* sy -18) 12) (set! elucyn (* (/ 25 (* -3 -9)) 10)) (* 10 (+ elucyn (+ (* 0 27) -15)))) (begin (set! n (* 16 n)) (+ n 19) 28)));55.0;n;(letrec* ((n (if #f 10 (/ 14 -2))) (elucyn (dummy 2))) (* (begin (* 10 (+ elucyn (+ (* 0 27) -15)))) (begin (set! n (* 16 n)) 28)));34.0
(let* ((v 11) (gnyulg -4) (wqx -26) (a 11)) (+ (begin (set! wqx (if #f 27 1)) (set! a 10) a) gnyulg));17.0;v;(let* ((v 11)) '());3.0
(let* ((pnld 10) (pi -28) (yjtfh (- 14 3)) (hqit -28)) (- (begin (set! pnld 15) (set! pi -16) hqit) (let* ((ehr 16)) (* (* ehr 7) (+ hqit -30)))));28.0;yjtfh;(let* ((yjtfh (- 14 3)) (hqit (dummy 2))) (- (begin hqit) (let* ((ehr (dummy 2))) (* (* ehr 7) (+ hqit -30)))));26.0
(letrec* ((mfo 26) (nsswwj 18)) (if #f (begin (if #f nsswwj mfo) (set! mfo -8) -30) (if (< (* nsswwj 30) (+ mfo -23)) -27 (begin (set! nsswwj 20) nsswwj))));29.0;nsswwj;(letrec* ((mfo 26) (nsswwj 18)) '());4.0
(let ((r 3) (cwhevp (* -9 -10)) (hy 18)) (begin r (set! cwhevp -3) (set! cwhevp hy) cwhevp));14.0;cwhevp;(let ((cwhevp (dummy 2)) (hy (dummy 2))) (begin (set! cwhevp -3) (set! cwhevp hy)));12.0
(letrec* ((poynec (if #f (* (if #f 8 21) -14) 17)) (l (+ 3 9)) (car (* -20 6)) (mkxbv -6)) (if (< poynec (* -10 (/ (* poynec 15) (- -1 28)))) (begin (set! poynec (+ 19 mkxbv)) (set! mkxbv -6) -1) 19));47.0;poynec;(letrec* ((poynec (if #f (* (if #f 8 21) -14) 17)) (mkxbv -6)) (if (< poynec (* -10 (/ (* poynec 15) (- -1 28)))) (begin (set! poynec (+ 19 mkxbv))) '()));36.0
(let* ((dmn -3) (dejq -26) (iuc (/ 9 -26)) (c 29)) (begin (set! iuc (let () dmn)) (set! iuc (* (+ dmn iuc) dejq)) 11 c));22.0;dejq;(let* ((dmn (dummy 1)) (dejq -26) (iuc (dummy 0))) (begin (set! iuc (let () dmn)) (set! iuc (* (+ dmn iuc) dejq))));20.0
(let* ((afrf (let* () 10)) (puh -4) (h -29)) (begin (begin afrf (+ 30 -28)) (set! puh (- (+ (* (* (* 3 (- afrf (/ -8 -25))) 22) (* (* -21 19) (/ 29 puh))) -21) puh)) (set! afrf afrf) -2));47.0;puh;(let* ((afrf (let* () 10)) (puh -4)) (begin (set! puh (- (+ (* (* (* 3 (- afrf (/ -8 -25))) 22) (* (* -21 19) (/ 29 puh))) -21) puh))));37.0
(letrec* ((ptwc 6) (zwkgot (if (< -8 25) 3 (if #f -6 18))) (ra -19) (rqdhgs -27)) (begin (set! ra -30) ptwc (set! zwkgot (- 25 rqdhgs)) -29));24.0;rqdhgs;(letrec* ((rqdhgs -27)) '());3.0
(let* ((jpqyy -30) (y -13) (yftvrt (- -24 -8)) (gxaghw 12)) (begin (set! y 0) (set! y y) (set! y yftvrt) (+ -4 yftvrt)));19.0;y;(let* ((y (dummy 1)) (yftvrt (dummy 2))) (begin (set! y y) (set! y yftvrt)));12.0
(let* ((b 6) (z (if (< 12 30) (if #f -26 17) 27)) (eojk -5) (nyrcy 20)) (- (- (letrec* () nyrcy) (begin (set! nyrcy 2) (+ -2 (/ -2 -23)))) (if (= -13 eojk) (begin (set! nyrcy nyrcy) z) (if #t 26 eojk))));43.0;eojk;(let* ((z (dummy 1)) (eojk -5) (nyrcy (dummy 2))) (- (- (letrec* () nyrcy) (begin (+ -2 (/ -2 -23)))) (if (= -13 eojk) (begin z) (if #t 26 eojk))));33.0
(let* ((qbb (begin (/ 6 7) 1 -22)) (lb 7) (ltmsq -2) (criqa -11)) (begin (set! criqa (if (< qbb (* qbb -12)) 19 -26)) (set! ltmsq (* lb -30)) 6 qbb));30.0;lb;(let* ((lb 7)) '());3.0
(let* ((loi (begin 25 24)) (ptd -4) (v -29)) (/ v (begin (set! ptd -10) (set! ptd -26) (- -29 (+ -19 18)))));21.0;loi;(let* ((loi (begin 24))) '());4.0
(let* ((vhtpz (- -18 -15)) (ivrnjq 25)) (+ (if #f (if (< -21 (* 5 (* -13 (/ 25 -16)))) -21 -23) 28) (begin (set! ivrnjq (/ (/ (- vhtpz vhtpz) vhtpz) -4)) (set! ivrnjq vhtpz) -28)));42.0;ivrnjq;(let* ((vhtpz (dummy 1)) (ivrnjq (dummy 1))) (+ (if #f (if (< -21 (* 5 (* -13 (/ 25 -16)))) -21 -23) 28) (begin (set! ivrnjq (/ (/ (- vhtpz vhtpz) vhtpz) -4)) (set! ivrnjq vhtpz) -28)));43.0
(let ((bbw -22) (ffj (begin 16 -2)) (n (* 22 -17)) (whs -24)) (* (begin (set! ffj (* (/ (- bbw (- (* ffj -26) (* bbw n))) (/ whs -12)) (/ (+ whs -3) n))) (set! bbw 17) -13) (- (- -6 (+ 15 ffj)) (if (< whs n) (if #t (- (- -5 (/ -3 n)) 15) (+ n 16)) n))));76.0;whs;(let ((bbw (dummy 2)) (ffj (dummy 2)) (n (* 22 -17)) (whs -24)) (* (begin (set! ffj (* (/ (- bbw (- (* ffj -26) (* bbw n))) (/ whs -12)) (/ (+ whs -3) n))) -13) (- (- -6 (+ 15 ffj)) (if (< whs n) (if #t (- (- -5 (/ -3 n)) 15) (+ n 16)) n))));76.0
(let* ((pbypg -17) (os (if (< -10 -10) 5 15)) (sxd (/ -6 -8)) (apnity -30)) (if #f (if (= pbypg pbypg) (begin -12 apnity) (+ (/ apnity -30) 22)) (begin (set! os 14) (set! os -8) (- (+ 10 -2) 20))));43.0;apnity;(let* ((pbypg -17) (apnity -30)) '());4.0
(letrec* ((icvsuj 11) (yrwpj (- -13 27)) (lkanlb 22)) (begin (set! icvsuj (begin (set! icvsuj -1) 29)) 11 yrwpj yrwpj));16.0;lkanlb;(letrec* ((lkanlb 22)) '());3.0
(let* ((wvbtn 4) (bohm 4) (ascd -26)) (begin (set! bohm -11) (+ -8 (* wvbtn -21)) (set! ascd ascd) 20));17.0;bohm;(let* ((bohm (dummy 2))) (begin (set! bohm -11)));7.0
(let* ((qdv -5)) (begin 0 (set! qdv qdv) (set! qdv qdv) (/ 11 -12)));12.0;qdv;(let* ((qdv (dummy 1))) (begin (set! qdv qdv) (set! qdv qdv)));9.0
(let* ((thheu (+ 1 (/ 16 -7))) (tvvpe (if #f -9 23)) (wlan 16)) (+ (begin (set! thheu wlan) tvvpe (- -11 (/ 2 (+ -20 wlan)))) (if #t (begin (set! wlan -2) (- 12 12)) (/ (* 5 thheu) 4))));45.0;tvvpe;(let* ((tvvpe (if #f -9 23))) '());6.0
(let* ((r 27) (npyvqe -7)) (begin (set! r (/ 1 -16)) (set! r -18) npyvqe));12.0;r;(let* ((r (dummy 1))) (begin (set! r (/ 1 -16)) (set! r -18)));12.0
(let* ((cn -26) (fypwbj -17) (oetf (+ 28 11)) (zm 21)) (begin (set! cn (+ (/ -14 5) zm)) (set! zm -19) (set! fypwbj -9) 22));22.0;cn;(let* ((cn (dummy 2)) (zm 21)) (begin (set! cn (+ (/ -14 5) zm))));14.0
(let* ((wk 20) (sz (if (< -27 7) 17 -1)) (fkrasj -9) (gxox -15)) (begin (set! gxox (begin 18 fkrasj)) (- (* (+ (- 25 -23) -29) 8) -25) (set! gxox -11) sz));32.0;gxox;(let* ((gxox (dummy 1))) (begin (set! gxox -11)));7.0
(let* ((n 7) (bbtel (+ (if #t 26 20) -24)) (tfasq 6) (uw -23)) (begin (set! bbtel (if (< 0 (- 16 bbtel)) 0 bbtel)) (if #f 25 (- (+ (- uw bbtel) bbtel) -22)) (set! bbtel (/ -11 28)) bbtel));42.0;tfasq;(let* ((bbtel (dummy 2)) (tfasq 6)) (begin (set! bbtel (if (< 0 (- 16 bbtel)) 0 bbtel))));17.0
(letrec* ((cn 18) (fzi (+ -28 27)) (rtx (+ -17 -6)) (y -13)) (begin (begin (set! y (+ 15 7)) 16) (set! rtx (* (+ (+ cn -30) (+ 25 6)) -2)) y rtx));35.0;fzi;(letrec* ((fzi (+ -28 27))) '());6.0
(letrec* ((tyr -10) (lyhf 28)) (begin (set! lyhf -18) (set! lyhf (- tyr tyr)) (+ lyhf (/ tyr lyhf)) (+ tyr (+ lyhf -16))));25.0;tyr;(letrec* ((tyr -10)) '());3.0
(letrec* ((kxo (+ 8 (* (if #f -21 -14) -13))) (jh (- (if #f 27 16) (if #f 26 -25))) (bli (if #t 8 -24)) (ehx -14)) (+ (+ bli (begin (set! kxo jh) (+ -13 (* (* (- 6 20) 28) bli)))) (begin (set! jh ehx) -5)));51.0;jh;(letrec* ((jh (dummy 1)) (bli (dummy 2)) (ehx (dummy 2))) (+ (+ bli (begin (+ -13 (* (* (- 6 20) 28) bli)))) (begin (set! jh ehx) -5)));33.0
(letrec* ((bjabb -18) (eieaa 26)) (begin (begin (set! bjabb (/ (/ eieaa bjabb) -7)) -13) 21 (set! eieaa -12) 25));18.0;eieaa;(letrec* ((bjabb (dummy 2)) (eieaa 26)) (begin (begin (set! bjabb (/ (/ eieaa bjabb) -7))) (set! eieaa -12)));17.0
(let* ((n (letrec* () 22)) (psdvp (if #t 24 -7)) (qtk -21)) (- (begin (set! psdvp (- (* 26 qtk) (/ -7 (- 1 2)))) (set! psdvp (/ -10 -12)) -17) (if #f (/ 11 (+ n 21)) (* n 23))));44.0;qtk;(let* ((n (letrec* () 22)) (qtk -21)) '());5.0
(let* ((bzcfu -25) (jaat (* -14 -1)) (uwpxen 1)) (begin (set! bzcfu (begin (set! jaat (+ 15 (+ uwpxen -18))) 17)) (set! uwpxen bzcfu) (set! bzcfu 0) uwpxen));24.0;uwpxen;(let* ((bzcfu (dummy 1)) (uwpxen 1)) (begin (set! uwpxen bzcfu)));8.0
(letrec* ((acunvb (begin -21 30)) (hu 6) (vfr (if #f 15 -28)) (ytsex 22)) (begin (set! vfr vfr) (set! vfr ytsex) (+ (- -1 -19) (/ acunvb acunvb))));25.0;acunvb;(letrec* ((acunvb (begin 30))) '());4.0
