expression; size; sliced on; concrete slice; concrete size; concrete time (ns) ; sign slice; sign size; sign time ; parity slice; parity size; parity time 
(let* ((jmzi -11) (otnji (let* ((xzzb -29)) (if (< xzzb (- (+ -22 20) -15)) (/ 12 20) (if #t (+ 13 (+ xzzb -3)) (+ -10 xzzb))))) (xxgk 6) (nrrb 14) (ybvmre -16) (umsd -15)) (if #t (begin (set! umsd (begin (if #f -2 ybvmre) (set! nrrb (* -21 2)) jmzi)) (set! nrrb (begin (set! jmzi xxgk) 2)) (if #t -12 (- -4 otnji)) 21 -16) (begin (set! nrrb (if #t (begin jmzi (- -18 -14)) 16)) (set! ybvmre -28) (set! xxgk (+ xxgk -10)) ybvmre jmzi)));85;2;(let* ((otnji (let* ((xzzb -29)) (if (< xzzb (- (+ -22 20) -15)) (/ 12 20) (if #t (+ 13 (+ xzzb -3)) (+ -10 xzzb))))) (xxgk 6)) '());33;200;(let* ((otnji (let* ((xzzb -29)) (if (< xzzb (- (+ -22 20) -15)) (/ 12 20) (if #t (+ 13 (+ xzzb -3)) (+ -10 xzzb))))) (xxgk 6)) (if #t '() (begin (set! xxgk (+ xxgk -10)))));41;600;(let* ((otnji (let* ((xzzb -29)) (if (< xzzb (- (+ -22 20) -15)) (/ 12 20) (if #t (+ 13 (+ xzzb -3)) (+ -10 xzzb))))) (xxgk 6)) '());33;200
(let* ((klp (if #t (let ((nnlyg -11)) (- (/ 29 12) -30)) (begin 26 27 0))) (hbs 5) (uy -11) (unr (/ 27 6)) (vkazxp -4)) (- (begin (set! klp (if #t (/ 5 25) (/ 0 (+ unr (- 2 21))))) (set! hbs 18) (- 16 (* (- 14 -22) (/ (/ (/ 3 hbs) uy) 7))) -17) (begin (set! unr (if #t (begin (set! vkazxp uy) (/ -15 7)) (/ (- (* (- hbs (/ -26 12)) (* -1 uy)) vkazxp) (/ -24 (/ vkazxp -3))))) (set! vkazxp (* vkazxp -7)) (set! klp vkazxp) (set! klp vkazxp) unr)));111;-19;(let* ((klp (if #t (let () (- (/ 29 12) -30)) (begin 0))) (hbs 5) (uy -11) (unr (dummy 0)) (vkazxp -4)) (- (begin (set! hbs 18) -17) (begin (set! unr (if #t (begin (set! vkazxp uy) (/ -15 7)) (/ (- (* (- hbs (/ -26 12)) (* -1 uy)) vkazxp) (/ -24 (/ vkazxp -3))))) (set! vkazxp (* vkazxp -7)) unr)));67;200;(let* ((klp (if #t (let () (- (/ 29 12) -30)) (begin 0))) (hbs 5) (uy -11) (unr (dummy 2)) (vkazxp -4)) (- (begin (set! hbs 18) -17) (begin (set! unr (if #t (begin (set! vkazxp uy) (/ -15 7)) (/ (- (* (- hbs (/ -26 12)) (* -1 uy)) vkazxp) (/ -24 (/ vkazxp -3))))) (set! vkazxp (* vkazxp -7)) unr)));67;200;(let* ((klp (if #t (let () (- (/ 29 12) -30)) (begin 0))) (hbs 5) (uy -11) (unr (dummy 0)) (vkazxp -4)) (- (begin (set! hbs 18) -17) (begin (set! unr (if #t (begin (set! vkazxp uy) (/ -15 7)) (/ (- (* (- hbs (/ -26 12)) (* -1 uy)) vkazxp) (/ -24 (/ vkazxp -3))))) (set! vkazxp (* vkazxp -7)) unr)));67;100
(let* ((dcg -9) (f (let* () -13)) (qvo 20) (bmw -25)) (if #t (begin (set! bmw (- (+ 17 29) dcg)) (set! bmw (+ 18 dcg)) (set! dcg (+ (+ -13 (+ (+ -15 (- dcg -20)) 19)) -12)) -29) (begin (set! f (letrec* ((jfdinb 10)) (if #f 22 (/ (+ f jfdinb) dcg)))) -3 (set! qvo -12) (set! qvo bmw) -12)));60;-13;(let* ((dcg -9) (f (let* () -13)) (qvo 20) (bmw -25)) (if #t (begin (set! dcg (+ (+ -13 (+ (+ -15 (- dcg -20)) 19)) -12))) (begin (set! f (letrec* ((jfdinb 10)) (if #f 22 (/ (+ f jfdinb) dcg)))) (set! qvo -12) (set! qvo bmw))));44;200;(let* ((dcg -9) (f (let* () -13)) (qvo 20) (bmw -25)) (if #t (begin (set! dcg (+ (+ -13 (+ (+ -15 (- dcg -20)) 19)) -12))) (begin (set! f (letrec* ((jfdinb 10)) (if #f 22 (/ (+ f jfdinb) dcg)))) (set! qvo -12))));42;200;(let* ((dcg -9) (f (let* () -13)) (qvo 20) (bmw -25)) (if #t (begin (set! dcg (+ (+ -13 (+ (+ -15 (- dcg -20)) 19)) -12))) (begin (set! f (letrec* ((jfdinb 10)) (if #f 22 (/ (+ f jfdinb) dcg)))) (set! qvo -12) (set! qvo bmw))));44;300
(let* ((vc -29) (hedh -24) (l (+ -2 -23)) (u -4)) (begin (set! vc (/ (begin (set! hedh l) (* (* 14 15) (+ -14 l)) -22) (if (= (/ u 28) 11) (begin vc 29) (/ u 14)))) (set! hedh (begin (set! l (/ 24 vc)) (- -28 -5) (* 2 -19))) (set! vc (begin u hedh)) vc (set! u hedh) vc));64;25;(let* ((vc -29) (hedh -24) (l (+ -2 -23)) (u -4)) (begin (set! vc (/ (begin (set! hedh l) -22) (if (= (/ u 28) 11) (begin 29) (/ u 14)))) (set! hedh (begin (* 2 -19)))));36;200;(let* ((vc -29) (hedh -24) (l (+ -2 -23)) (u -4)) (begin (set! vc (/ (begin -22) (if (= (/ u 28) 11) (begin 29) (/ u 14))))));28;200;(let* ((vc -29) (hedh -24) (l (+ -2 -23)) (u -4)) (begin (set! vc (/ (begin (set! hedh l) -22) (if (= (/ u 28) 11) (begin 29) (/ u 14)))) (set! hedh (begin (* 2 -19)))));36;200
(let* ((i (/ (let ((zedv 12) (yjmprp 9)) -11) (* (+ (if #t -28 -6) 29) 16))) (n 27) (v (begin -6 8 12)) (nxh 4) (vqb 20) (dvacq 13)) (/ (* (begin (set! i (+ 21 (* (+ -3 n) n))) (set! nxh (/ (* n -2) (+ v 6))) (set! vqb vqb) -24) (let ((vj v)) (begin dvacq 7))) (if (< nxh (+ -6 (+ i (* (/ 10 v) 9)))) (begin (set! dvacq (* 14 -25)) -27) (begin -5 (set! v (/ (- (* (- -6 7) nxh) -21) (+ 5 (* (/ 5 -9) 1)))) (set! v -2) 15))));112;6;(let* ((i (/ (let ((zedv 12) (yjmprp 9)) -11) (* (+ (if #t -28 -6) 29) 16))) (n 27) (v (begin 12)) (nxh 4) (vqb 20)) (/ (* (begin (set! i (+ 21 (* (+ -3 n) n))) (set! nxh (/ (* n -2) (+ v 6))) (set! vqb vqb) -24) (let ((vj v)) (begin 7))) (if (< nxh (+ -6 (+ i (* (/ 10 v) 9)))) (begin -27) (begin 15))));77;300;(let* ((i (/ (let ((zedv 12) (yjmprp 9)) -11) (* (+ (if #t -28 -6) 29) 16))) (n 27) (v (begin 12)) (nxh 4) (vqb 20)) (/ (* (begin (set! i (+ 21 (* (+ -3 n) n))) (set! nxh (/ (* n -2) (+ v 6))) (set! vqb vqb) -24) (let ((vj v)) (begin 7))) (if (< nxh (+ -6 (+ i (* (/ 10 v) 9)))) (begin -27) (begin 15))));77;200;(let* ((i (/ (let ((zedv 12) (yjmprp 9)) -11) (* (+ (if #t -28 -6) 29) 16))) (n 27) (v (begin 12)) (nxh 4)) (/ (* (begin (set! i (+ 21 (* (+ -3 n) n))) (set! nxh (/ (* n -2) (+ v 6))) -24) (let ((vj v)) (begin 7))) (if (< nxh (+ -6 (+ i (* (/ 10 v) 9)))) (begin -27) (begin 15))));74;100
(let* ((qe 27) (pfmeqn (let* ((s -18) (jw 16)) (begin (set! s 26) (+ -9 7)))) (crqev -2) (edanfz (begin -15 -29)) (tn 24) (gw -19)) (if #t (letrec* ((b tn)) qe) (if #t (begin (set! crqev (if (< (+ (/ -19 edanfz) (+ 20 (/ 15 (+ 26 -28)))) (/ pfmeqn pfmeqn)) gw -23)) (set! qe (if #t (/ 8 tn) -13)) (set! crqev -14) (* 13 14)) (+ (/ (begin (set! tn -26) (* -26 -16)) (/ (- edanfz pfmeqn) (+ 23 (- 13 gw)))) (begin (* 13 23) (set! tn qe) (+ gw 18))))));101;-5;(let* ((pfmeqn (let* () (begin (+ -9 7)))) (crqev -2) (gw -19)) (if #t '() (if #t (begin (set! crqev -14)) '())));18;200;(let* ((pfmeqn (let* () (begin (+ -9 7)))) (crqev -2) (gw -19)) (if #t '() (if #t (begin (set! crqev -14)) '())));18;200;(let* ((pfmeqn (let* () (begin (+ -9 7)))) (crqev -2)) (if #t '() (if #t (begin (set! crqev -14)) '())));17;400
(let ((rmra -15) (newb 20) (wszf (begin -3 13)) (osfnd -16) (tldeh 0)) (begin (set! osfnd (begin (set! rmra 2) (* (* -24 (- osfnd tldeh)) (/ newb -25)))) (set! osfnd (* (/ (if #t newb (+ 3 (+ (* tldeh wszf) -17))) 22) newb)) (begin (set! rmra -30) (/ -4 osfnd)) (set! osfnd -27) (set! newb osfnd) 6));58;19;(let ((newb 20) (osfnd -16) (tldeh 0)) (begin (set! osfnd (begin (* (* -24 (- osfnd tldeh)) (/ newb -25)))) (set! osfnd -27)));22;400;(let ((newb 20) (osfnd -16) (tldeh 0)) (begin (set! osfnd (begin (* (* -24 (- osfnd tldeh)) (/ newb -25)))) (set! osfnd -27)));22;300;(let ((newb 20) (osfnd -16) (tldeh 0)) (begin (set! osfnd (begin (* (* -24 (- osfnd tldeh)) (/ newb -25))))));20;600
(letrec* ((hudaoo 4) (l -6)) (+ (- (begin (set! l 28) l (set! hudaoo hudaoo) hudaoo) (begin (set! l (- l -16)) (set! l 8) -20 l)) (begin (begin 30 hudaoo) (set! l (- l 21)) (set! l 21) 21)));36;-16;(letrec* ((hudaoo 4) (l -6)) (+ (- (begin (set! hudaoo hudaoo) hudaoo) (begin (set! l (- l -16)) l)) (begin (set! l (- l 21)) 21)));25;200;(letrec* ((hudaoo 4) (l -6)) (+ (- (begin (set! hudaoo hudaoo) hudaoo) (begin (set! l (- l -16)) l)) (begin (set! l (- l 21)) 21)));25;300;(letrec* ((hudaoo 4) (l -6)) (+ (- (begin (set! hudaoo hudaoo) hudaoo) (begin (set! l (- l -16)) l)) (begin (set! l (- l 21)) 21)));25;100
(let ((bu -17) (wyd (begin 5 -1)) (dkbyza (if #f 15 -8)) (iraeb -18)) (begin (set! bu (begin (set! iraeb (+ -19 (+ wyd -30))) 17 9 21)) (set! wyd 6) (set! bu (if #f (/ (+ (+ iraeb -6) (/ (/ (+ -5 (- dkbyza bu)) iraeb) dkbyza)) iraeb) -26)) (set! bu -28) (set! bu (- (* -19 iraeb) -5)) -3));63;-9;(let ((bu -17) (wyd (dummy 1)) (dkbyza (dummy 2)) (iraeb -18)) (begin (set! bu (begin (set! iraeb (+ -19 (+ wyd -30))) 21)) (set! bu (if #f (/ (+ (+ iraeb -6) (/ (/ (+ -5 (- dkbyza bu)) iraeb) dkbyza)) iraeb) -26))));47;200;(let ((bu -17) (wyd (dummy -2)) (dkbyza (dummy -2)) (iraeb -18)) (begin (set! bu (begin (set! iraeb (+ -19 (+ wyd -30))) 21)) (set! bu (if #f (/ (+ (+ iraeb -6) (/ (/ (+ -5 (- dkbyza bu)) iraeb) dkbyza)) iraeb) -26))));47;200;(let ((bu -17) (wyd (dummy 1)) (dkbyza (dummy 2)) (iraeb -18)) (begin (set! bu (begin (set! iraeb (+ -19 (+ wyd -30))) 21)) (set! bu (if #f (/ (+ (+ iraeb -6) (/ (/ (+ -5 (- dkbyza bu)) iraeb) dkbyza)) iraeb) -26))));47;200
(letrec* ((wk -21) (zmeaaj (if (< -10 -3) 5 -11)) (z 5) (irt (+ 6 -28)) (zqn 29)) (+ (/ (- (begin (set! zmeaaj -10) (set! irt (* (+ -8 z) 28)) wk) 19) (begin (if (= (- -19 zmeaaj) wk) 4 -30) (set! irt (/ irt (+ -11 (+ irt -13)))) (set! irt 14) (/ -2 wk))) (begin (let* ((xqd 10)) (/ z wk)) (begin (set! irt 3) -28) (set! wk 13) -11 8)));77;-11;(letrec* ((wk -21) (zmeaaj (dummy 1)) (irt (dummy 2))) (+ (/ (- (begin (set! zmeaaj -10) wk) 19) (begin (set! irt (/ irt (+ -11 (+ irt -13)))) (/ -2 wk))) (begin 8)));37;200;(letrec* ((wk -21) (zmeaaj (dummy 3)) (irt (dummy 3))) (+ (/ (- (begin (set! zmeaaj -10) wk) 19) (begin (set! irt (/ irt (+ -11 (+ irt -13)))) (/ -2 wk))) (begin 8)));37;200;(letrec* ((wk -21) (zmeaaj (dummy 1)) (irt (dummy 2))) (+ (/ (- (begin (set! zmeaaj -10) wk) 19) (begin (set! irt (/ irt (+ -11 (+ irt -13)))) (/ -2 wk))) (begin 8)));37;200
(let* ((x (begin 16 (if #t 15 0) 23 19)) (ikjetz 20) (ad (begin -12 13)) (f (if #t (* -3 -27) -30)) (dyuisc -15) (jvoaf -17)) (/ (if #f (begin (set! ikjetz (if #t 28 dyuisc)) (+ -29 -5) (+ (/ ikjetz 13) jvoaf)) (if (< -29 (- (/ -22 (/ dyuisc -19)) (/ -11 -15))) (begin (set! dyuisc (* (+ -7 22) ad)) 2 -15) -10)) (begin (set! f (begin (set! ikjetz (/ (/ 4 jvoaf) -23)) jvoaf)) (set! x (- ad -4)) ikjetz (set! x (+ -18 (* -26 (+ (* ad (- -9 (+ -2 (- ad (+ 29 (/ jvoaf 10)))))) jvoaf)))) (+ -19 x))));123;25;(let* ((x (dummy 1)) (ikjetz 20) (f (dummy 1)) (dyuisc -15) (jvoaf -17)) (/ (if #f (begin (set! ikjetz (if #t 28 dyuisc)) (+ (/ ikjetz 13) jvoaf)) (if (< -29 (- (/ -22 (/ dyuisc -19)) (/ -11 -15))) (begin -15) -10)) (begin (set! f (begin (set! ikjetz (/ (/ 4 jvoaf) -23)) jvoaf)) (+ -19 x))));63;300;(let* ((x (dummy 2)) (ikjetz 20) (f (dummy 2)) (dyuisc -15) (jvoaf -17)) (/ (if #f (begin (set! ikjetz (if #t 28 dyuisc)) (+ (/ ikjetz 13) jvoaf)) (if (< -29 (- (/ -22 (/ dyuisc -19)) (/ -11 -15))) (begin -15) -10)) (begin (set! f (begin (set! ikjetz (/ (/ 4 jvoaf) -23)) jvoaf)) (+ -19 x))));63;100;(let* ((x (dummy 1)) (ikjetz 20) (f (dummy 1)) (dyuisc -15) (jvoaf -17)) (/ (if #f (begin (set! ikjetz (if #t 28 dyuisc)) (+ (/ ikjetz 13) jvoaf)) (if (< -29 (- (/ -22 (/ dyuisc -19)) (/ -11 -15))) (begin -15) -10)) (begin (set! f (begin (set! ikjetz (/ (/ 4 jvoaf) -23)) jvoaf)) (+ -19 x))));63;200
(let* ((oc (if #t -7 0)) (mexoe (- (begin -19 -23) 12)) (wxcz -24) (uoclx -29) (ztk -21) (vgfbgd 16)) (begin (set! ztk (begin (set! vgfbgd (* uoclx (- (* 27 -6) (/ 25 ztk)))) 28 oc)) (set! ztk (begin (set! vgfbgd (* (* (- wxcz -28) uoclx) (/ -8 (/ -27 (/ -23 2))))) (set! oc -14) ztk)) (set! mexoe (+ vgfbgd 8)) (set! uoclx (* (+ 17 uoclx) (* (+ uoclx 11) wxcz))) 7 oc));80;-23;(let* ((oc (dummy 1)) (mexoe (dummy 1)) (wxcz -24) (uoclx -29) (ztk -21) (vgfbgd 16)) (begin (set! ztk (begin (set! vgfbgd (* uoclx (- (* 27 -6) (/ 25 ztk)))) oc)) (set! ztk (begin (set! vgfbgd (* (* (- wxcz -28) uoclx) (/ -8 (/ -27 (/ -23 2))))) ztk)) (set! mexoe (+ vgfbgd 8)) (set! uoclx (* (+ 17 uoclx) (* (+ uoclx 11) wxcz)))));71;200;(let* ((oc (dummy -2)) (mexoe (dummy -2)) (wxcz -24) (uoclx -29) (ztk -21) (vgfbgd 16)) (begin (set! ztk (begin (set! vgfbgd (* uoclx (- (* 27 -6) (/ 25 ztk)))) oc)) (set! ztk (begin (set! vgfbgd (* (* (- wxcz -28) uoclx) (/ -8 (/ -27 (/ -23 2))))) ztk)) (set! mexoe (+ vgfbgd 8)) (set! uoclx (* (+ 17 uoclx) (* (+ uoclx 11) wxcz)))));71;200;(let* ((oc (dummy 1)) (mexoe (dummy 1)) (wxcz -24) (uoclx -29) (ztk -21) (vgfbgd 16)) (begin (set! ztk (begin (set! vgfbgd (* uoclx (- (* 27 -6) (/ 25 ztk)))) oc)) (set! ztk (begin (set! vgfbgd (* (* (- wxcz -28) uoclx) (/ -8 (/ -27 (/ -23 2))))) ztk)) (set! mexoe (+ vgfbgd 8)) (set! uoclx (* (+ 17 uoclx) (* (+ uoclx 11) wxcz)))));71;100
