expression; size; sliced on; sliced expression; sliced size
(let* ((qeb 14) (sly 21) (dbz -11) (hd 12)) (begin (begin (set! dbz -3) 17) (set! hd sly) 28 -13));14.0;hd;(let* ((sly (dummy 1)) (hd (dummy 2))) (begin (set! hd sly)));10.0
(let ((frdzn -15) (sshkic -8) (ct -23)) (* (begin (set! sshkic sshkic) (set! frdzn 6) (* 20 frdzn)) (* (+ sshkic (* ct (+ 22 ct))) (begin -12 (/ sshkic frdzn)))));33.0;sshkic;(let ((frdzn (dummy 1)) (sshkic (dummy 2)) (ct (dummy 1))) (* (begin (set! sshkic sshkic) (* 20 frdzn)) (* (+ sshkic (* ct (+ 22 ct))) (begin (/ sshkic frdzn)))));36.0
(let* ((fr (- (begin 19 8) (if #t -4 (if #f 29 24)))) (e (* 23 (if #t 9 -22))) (kzeqop (* 23 28)) (oyo 24)) (begin (begin (set! fr 3) (/ 0 (* (+ -5 -23) -7))) (set! kzeqop oyo) (set! fr 26) (/ kzeqop -16)));47.0;e;(let* ((e (* 23 (if #t 9 -22)))) '());9.0
(letrec* ((qcsji (+ 26 -24)) (fszuto -19)) (if (= 8 (+ (* 16 fszuto) fszuto)) (begin qcsji 14 6) (begin (set! qcsji -23) (set! qcsji qcsji) qcsji)));27.0;fszuto;(letrec* ((fszuto -19)) '());3.0
(let* ((ijsd (if #t (* 16 6) -28)) (ujdmr 30) (avgwwm -1)) (begin (set! ujdmr 22) (set! ujdmr (- 14 avgwwm)) (- (/ 3 27) avgwwm)));25.0;ijsd;(let* ((ijsd (if #t (* 16 6) -28))) '());9.0
(let ((fgwqd 16)) (begin (begin (set! fgwqd fgwqd) 13) (set! fgwqd (* fgwqd -16)) fgwqd -7));14.0;fgwqd;(let ((fgwqd 16)) (begin (begin (set! fgwqd fgwqd)) (set! fgwqd (* fgwqd -16))));11.0
(let ((inldo 4) (z -2)) (begin -13 (set! z (- z 13)) (set! inldo z) -29));13.0;z;(let ((z -2)) (begin (set! z (- z 13))));8.0
(letrec* ((j (if #f (begin -18 27) (begin 1 -15))) (xkb -5) (ue 18) (blk -24)) (begin (set! ue (if (= j -23) (- xkb blk) -27)) 4 (set! xkb 2) (/ (/ 18 xkb) (+ blk xkb))));37.0;ue;(letrec* ((j (if #f (begin 27) (begin -15))) (xkb -5) (ue (dummy 2)) (blk -24)) (begin (set! ue (if (= j -23) (- xkb blk) -27))));24.0
(letrec* ((tbcg 25) (f (begin 2 -8)) (vvb (/ 22 30)) (c 18)) (begin (* (if #f (+ (/ c -27) tbcg) 30) tbcg) (set! c -8) (set! tbcg f) -21));29.0;vvb;(letrec* ((vvb (/ 22 30))) '());6.0
(let* ((f (if #t (/ -6 -26) (letrec* () 29))) (zqqg 27) (id -2) (ja 27)) (if #t (begin (if #t (- 26 (* (- 11 ja) id)) (- -1 (/ -17 (/ (+ f 27) -29)))) (set! zqqg f) (- f -19)) (/ (if (< -14 (* -14 f)) zqqg 13) (begin (set! zqqg (- zqqg 12)) (* 6 id)))));68.0;id;(let* ((f (if #t (/ -6 -26) (letrec* () 29))) (zqqg (dummy 1)) (id -2)) (if #t '() (/ (if (< -14 (* -14 f)) zqqg 13) (begin (set! zqqg (- zqqg 12)) (* 6 id)))));38.0
(let* ((l (- -15 -30)) (cnc (begin 7 11)) (jyin 14) (yvv -28)) (begin (set! l cnc) (set! cnc jyin) 20));16.0;cnc;(let* ((cnc (dummy 1)) (jyin (dummy 2))) (begin (set! cnc jyin)));10.0
(let ((jehkt 19) (hkp 17)) (begin (set! hkp 30) (set! jehkt (/ -29 11)) (set! hkp 12) (* (/ -18 (- (/ -21 -10) jehkt)) (+ (- 5 17) -18))));32.0;jehkt;(let ((jehkt (dummy 1))) (begin (set! jehkt (/ -29 11))));10.0
(letrec* ((msfu -11) (a -1) (xiawot -8)) (begin (set! a (- (+ (/ -23 msfu) 12) msfu)) (set! msfu a) -8));19.0;a;(letrec* ((msfu -11) (a (dummy 1))) (begin (set! a (- (+ (/ -23 msfu) 12) msfu))));17.0
(letrec* ((dy (- 28 (begin 0 8))) (ajcutf -26) (neme 4) (hnqohk 19)) (begin (begin (set! hnqohk (* 18 -7)) neme) (set! neme (- -12 -9)) 6 (* (/ hnqohk 19) 20)));31.0;neme;(letrec* ((neme (dummy 2))) (begin (set! neme (- -12 -9))));10.0
(let* ((ggoi (if #f -27 (if #f 7 -10))) (yogofp -23) (oxs (if #f -5 -6)) (cj -24)) (begin (set! oxs -26) (* (+ (/ (- ggoi 22) -18) -14) (* -12 14)) (set! cj yogofp) -30));36.0;oxs;(let* ((oxs (dummy 2))) (begin (set! oxs -26)));7.0
(let* ((o -9) (m (/ -30 13)) (egl -17) (jdio 11)) (begin jdio (set! egl (- (- egl (+ egl 5)) jdio)) (set! egl (/ 25 o)) -9));27.0;o;(let* ((o -9) (egl (dummy 1)) (jdio (dummy 1))) (begin (set! egl (- (- egl (+ egl 5)) jdio))));20.0
(let* ((wosewb (if #f -15 3)) (tsziio -17) (ohofco 10)) (begin (set! wosewb (/ -26 (+ wosewb 24))) (set! ohofco -14) 14 (* (+ wosewb wosewb) tsziio)));26.0;wosewb;(let* ((wosewb (if #f -15 3))) (begin (set! wosewb (/ -26 (+ wosewb 24)))));14.0
(letrec* ((kfjv (begin -4 4 2)) (ewqow 14) (ifnvba -22) (kvkh 30)) (if #t (begin kfjv (set! kvkh ifnvba) (- (/ 5 -14) kvkh)) (begin (set! kvkh (- kfjv ewqow)) ewqow)));28.0;kvkh;(letrec* ((kfjv (begin 2)) (ewqow 14) (ifnvba (dummy 2)) (kvkh 30)) (if #t (begin (set! kvkh ifnvba)) (begin (set! kvkh (- kfjv ewqow)))));19.0
(let* ((bk -11) (wrk (- 29 -16)) (q -11) (p -11)) (begin (begin (set! p 12) p) (set! p (* -1 (/ q (/ q q)))) (set! bk (/ (+ wrk (- q 4)) -16)) 19));36.0;p;(let* ((q -11) (p (dummy 1))) (begin (set! p (* -1 (/ q (/ q q))))));17.0
(let* ((ts 28) (zptwq (+ (if #f 9 -14) -20)) (ft (+ -2 6)) (m 8)) (* (* (if #f (if #t (/ ts -4) ts) (/ -3 21)) 13) (begin (set! zptwq 19) (set! zptwq 27) (+ 22 m))));41.0;m;(let* ((m 8)) '());3.0
(let ((kcpz -24) (from (if #t 10 -15)) (mnkdjn 28)) (/ (begin (set! kcpz (+ -11 -3)) -17) (begin (set! from 26) (set! mnkdjn 20) 30)));22.0;from;(let ((from (dummy 2))) (/ (begin -17) (begin (set! from 26) 30)));12.0
(let* ((vufosn -19) (eja -26) (knkulu 23) (rbw -24)) (begin (set! rbw 22) (set! knkulu (if #f (+ knkulu 29) eja)) vufosn (* 24 9)));21.0;eja;(let* ((eja -26) (knkulu (dummy 1))) (begin (set! knkulu (if #f (+ knkulu 29) eja))));14.0
(let ((mc 9) (ihwzxj (if #t 0 -19)) (hjs 2)) (- (begin (set! ihwzxj 22) (set! hjs ihwzxj) mc) -8));16.0;mc;(let ((mc 9)) '());3.0
(let* ((mqgqnb 17)) (begin (set! mqgqnb (- (- (- (/ (/ 16 14) (/ (/ (+ mqgqnb -16) (/ -12 (+ 8 mqgqnb))) -5)) mqgqnb) mqgqnb) 17)) (set! mqgqnb 19) (/ mqgqnb (+ (+ mqgqnb 27) (- mqgqnb (- 14 mqgqnb))))));53.0;mqgqnb;(let* ((mqgqnb 17)) (begin (set! mqgqnb (- (- (- (/ (/ 16 14) (/ (/ (+ mqgqnb -16) (/ -12 (+ 8 mqgqnb))) -5)) mqgqnb) mqgqnb) 17)) (set! mqgqnb 19)));37.0
(let ((d 27)) (+ d (begin (set! d -5) (set! d 13) (+ -23 d))));14.0;d;(let ((d (dummy 1))) (+ d (begin (set! d -5) (set! d 13) (+ -23 d))));16.0
(let* ((armil (+ 19 (- 2 23))) (z 10) (djgcwf (/ -1 -25)) (tk 3)) (begin (begin (set! armil -26) -20) (set! armil 19) (set! armil armil) -14));24.0;z;(let* ((z 10)) '());3.0
(letrec* ((am (* (- 28 (* -21 26)) 15)) (ivruvd -29) (bfufz (if #f 26 26)) (axymml 17)) (if #f axymml (begin (set! bfufz (+ -5 19)) (set! ivruvd ivruvd) -11)));29.0;ivruvd;(letrec* ((ivruvd -29)) (if #f '() (begin (set! ivruvd ivruvd))));8.0
(letrec* ((gzaq (/ 26 19)) (p 10) (sv (/ 5 -28)) (sdmc 28)) (begin (set! sv (* (* (* -6 (- (* 12 p) 8)) 22) -7)) (/ 27 -6) (set! gzaq -23) -6));36.0;sdmc;(letrec* ((sdmc 28)) '());3.0
(let* ((mwaf (let ((gp -4)) (+ 21 (/ 22 4)))) (jt (if #t (- 15 12) 9)) (htmdr 16) (kcdu -13)) (begin (set! jt jt) (set! kcdu (if #t 17 kcdu)) (set! kcdu -11) 22));30.0;jt;(let* ((mwaf (let () (+ 21 (/ 22 4)))) (jt (dummy 1))) (begin (set! jt jt)));15.0
(let* ((okux (+ 13 -12)) (dyq -19) (qikx 10)) (begin (+ dyq -14) (set! okux -3) (set! qikx -4) 7));17.0;dyq;(let* ((dyq -19)) '());3.0
(let ((h 5) (wxs 23) (oacmqz 28) (revxwg -7)) (begin (set! revxwg -24) -1 (set! revxwg wxs) (* 1 revxwg)));15.0;oacmqz;(let ((oacmqz 28)) '());3.0
(let* ((r (if #f 9 (- -21 -11))) (t (if #f 5 (* -30 19))) (q 4) (mruw 8)) (begin (set! q r) (set! r (- (+ (+ -11 -29) (+ -14 (- (+ 22 (* 26 t)) (* 14 mruw)))) -3)) mruw -26));48.0;mruw;(let* ((mruw 8)) '());3.0
(let* ((kz (* -18 17)) (p 24)) (begin (let* () p) (set! kz p) (set! kz (/ -7 -7)) -17));17.0;kz;(let* ((kz (dummy 2)) (p (dummy 2))) (begin (set! kz p) (set! kz (/ -7 -7))));15.0
(let* ((fnq (let* ((ftpbvj 30)) -30)) (gs -11) (a -19) (nahpzs 17)) (if (< (- (/ -22 5) (- (/ a fnq) -24)) nahpzs) (if #f (begin (set! nahpzs nahpzs) 20) (begin (set! fnq fnq) 21)) (if (< 4 (* (* 7 nahpzs) -23)) 25 (if (< -4 a) -2 -15))));53.0;gs;(let* ((fnq (let* () -30)) (gs -11) (a -19) (nahpzs 17)) '());7.0
(letrec* ((b (let ((ur 26)) (if #t (/ 19 (- (/ -19 (- 17 (/ ur 25))) ur)) ur))) (ykhet 2) (zje (if #f -29 -26)) (oo 22)) (begin (+ 26 -16) (set! ykhet 9) (set! ykhet (- -7 -10)) b));41.0;ykhet;(letrec* ((b (let ((ur 26)) (if #t (/ 19 (- (/ -19 (- 17 (/ ur 25))) ur)) ur))) (ykhet (dummy 2))) (begin (set! ykhet 9)));28.0
(letrec* ((l (+ -10 -23)) (xn (/ -29 29)) (ygbeh 2)) (begin (- (if #t -3 (- -12 (/ (+ (/ ygbeh (+ l -26)) l) 24))) (+ (+ l 3) 12)) (set! l xn) (set! xn -12) -16));44.0;ygbeh;(letrec* ((ygbeh 2)) '());3.0
(let* ((so -4) (u -26) (mbwjop 7)) (begin (set! so (+ (if #t 26 (+ 14 u)) (/ 17 u))) (set! u (/ -29 mbwjop)) (+ so 15) mbwjop));29.0;so;(let* ((so (dummy 2)) (u -26)) (begin (set! so (+ (if #t 26 (+ 14 u)) (/ 17 u)))));20.0
(let ((p (+ (if #t -17 2) 2)) (ocuk (let* () 9)) (vp -12) (pa 24)) (begin (set! ocuk (if #t 14 -29)) (set! vp 18) 23));21.0;p;(let ((p (+ (if #t -17 2) 2)) (ocuk (let* () 9))) '());11.0
(let* ((tdh 12) (f (* 21 -2)) (ni 12)) (if #f 5 (begin (set! f -29) (set! f (* -26 -6)) (- ni (- f (+ (/ (+ 4 f) ni) ni))))));34.0;f;(let* ((f (* 21 -2))) (if #f '() (begin (set! f -29) (set! f (* -26 -6)))));16.0
(let* ((jtjb 17) (gofh 28)) (begin (if #f gofh 8) (set! jtjb (- (+ 22 jtjb) 23)) (set! jtjb 18) gofh));19.0;gofh;(let* ((jtjb (dummy 1)) (gofh 28)) (begin (set! jtjb (- (+ 22 jtjb) 23))));14.0
(let ((m (begin (+ 0 12) 10 1)) (hvr (if (< 11 -24) -14 (* 20 8))) (babu -29) (ebam 12)) (begin (set! m hvr) (set! m 15) -3));26.0;babu;(let ((babu -29)) '());3.0
(letrec* ((lm -19)) (- lm (begin (set! lm (/ (+ 22 (* -14 -6)) -8)) (set! lm 18) lm)));20.0;lm;(letrec* ((lm (dummy 1))) (- lm (begin (set! lm (/ (+ 22 (* -14 -6)) -8)) (set! lm 18) lm)));22.0
(let* ((qolv (if #f (begin -26 11) (if #f -6 (if #f 23 28)))) (rcezz (begin -6 -19)) (zi -15) (yaj 23)) (* (if #f (+ -12 (- zi rcezz)) (begin (set! zi (+ (/ 11 (+ -5 (* -11 qolv))) yaj)) -12)) (if #f (letrec* () -9) (begin (set! zi (+ (- 16 -17) (/ (- zi yaj) 27))) -4))));65.0;rcezz;(let* ((rcezz (begin -19)) (zi (dummy 1)) (yaj (dummy 1))) (* (if #f (+ -12 (- zi rcezz)) (begin -12)) (if #f (letrec* () -9) (begin (set! zi (+ (- 16 -17) (/ (- zi yaj) 27))) -4))));42.0
(let* ((tcrr (if #t 15 (if #f 16 23))) (xv 12) (qfxck -14)) (begin (set! xv (- (if #t qfxck (/ 0 xv)) -27)) (set! tcrr qfxck) (* (+ -7 (- tcrr (- 16 tcrr))) (- 23 15)) (- -8 -20)));44.0;qfxck;(let* ((xv (dummy 2)) (qfxck -14)) (begin (set! xv (- (if #t qfxck (/ 0 xv)) -27))));17.0
(letrec* ((rbgku 8) (bpg (if #f (+ 22 -29) (/ 17 -28))) (r -5) (ll -27)) (begin (set! r (if #t rbgku -3)) (set! r (+ ll (* ll (* bpg (/ bpg rbgku))))) -27 1));36.0;r;(letrec* ((rbgku 8) (bpg (if #f (+ 22 -29) (/ 17 -28))) (r (dummy 1)) (ll -27)) (begin (set! r (if #t rbgku -3)) (set! r (+ ll (* ll (* bpg (/ bpg rbgku)))))));36.0
(letrec* ((ml (* (begin -16 -3) (* -22 14))) (c (if #t (* -16 0) 28)) (dvc 8) (gwp 22)) (- (if (= 27 (- 27 (* (/ 12 5) gwp))) (if (< -11 -14) dvc (if #t gwp c)) (begin (set! dvc c) -6)) (begin (set! dvc 8) -20)));53.0;ml;(letrec* ((ml (* (begin -3) (* -22 14))) (gwp 22)) '());11.0
(let* ((al (letrec* () 27)) (ns (/ -26 -14)) (ifgfef -5)) (begin (set! al (* ns (if #t ifgfef 24))) (set! al (- (/ 8 -5) (+ 26 ns))) (set! ns ns) -29));31.0;ns;(let* ((al (letrec* () 27)) (ns (dummy 0)) (ifgfef -5)) (begin (set! ns ns)));10.0
(letrec* ((xdvrev -13) (jx -23) (ofzeo -22)) (begin (set! jx (begin (set! ofzeo ofzeo) 15)) xdvrev (set! xdvrev xdvrev) 19));14.0;xdvrev;(letrec* ((xdvrev (dummy 1))) (begin (set! xdvrev xdvrev)));7.0
(let* ((pzaxd (begin 1 20 3)) (svoai -4) (shngmg -8) (jjiwkz 29)) (begin (set! svoai (* (+ (- -6 (* (* -3 13) (* shngmg shngmg))) 25) (/ shngmg (+ jjiwkz (- -3 17))))) (set! svoai 16) (- -7 svoai) pzaxd));45.0;svoai;(let* ((svoai (dummy 2)) (shngmg (dummy 2)) (jjiwkz 29)) (begin (set! svoai (* (+ (- -6 (* (* -3 13) (* shngmg shngmg))) 25) (/ shngmg (+ jjiwkz (- -3 17))))) (set! svoai 16)));40.0
(let* ((pa (if #f 13 -11)) (ngdevx (* (- -3 20) 22)) (bntkz 21) (msg 25)) (if #f (begin (set! pa (* (+ pa -15) 21)) bntkz 1) (begin (if #f (* -17 -22) -2) (set! bntkz -9) -4)));38.0;bntkz;(let* ((pa (dummy 1)) (bntkz 21)) (if #f (begin (set! pa (* (+ pa -15) 21))) (begin (set! bntkz -9))));19.0
(let* ((rgucv 28) (ydpct (if (< -21 -11) -24 (* 13 -17))) (qiz 22) (ea 10)) (+ (* rgucv (begin (set! ea (/ ea ydpct)) -28)) (begin qiz (set! qiz (- 7 (- 0 (* (- ea 30) -5)))) 28)));43.0;rgucv;(let* ((rgucv 28) (ydpct (dummy 0)) (ea (dummy 2))) (+ (* rgucv (begin (set! ea (/ ea ydpct)) -28)) (begin 28)));22.0
(letrec* ((icwme -11) (yljxm 6)) (begin (set! icwme 27) 7 (set! icwme (- -4 icwme)) 29));13.0;icwme;(letrec* ((icwme (dummy 1))) (begin (set! icwme 27) (set! icwme (- -4 icwme))));12.0
(let* ((u -25) (z 21)) (begin (set! z (- (* u 19) (/ 21 7))) (set! z (if #t 4 (+ (- -23 (/ 4 -27)) -22))) 28 20));31.0;z;(let* ((u (dummy 1)) (z (dummy 1))) (begin (set! z (- (* u 19) (/ 21 7))) (set! z (if #t 4 (+ (- -23 (/ 4 -27)) -22)))));33.0
(let ((alnw (- 6 (if #t 20 19))) (mdlzci -1) (bnc 16) (wyju 4)) (if (< -30 (- 10 22)) (- (- (if #t (- (+ (+ -1 wyju) (- alnw (* (+ -17 bnc) alnw))) alnw) (/ alnw 5)) (* (/ -8 5) (- wyju 3))) (begin bnc alnw)) (begin (set! mdlzci alnw) (set! alnw 30) (* 6 24))));70.0;bnc;(let ((bnc 16)) '());3.0
(let* ((smvow 6) (zwpf 23) (rknh -10) (qpwq -30)) (begin (set! rknh (begin (- 13 smvow) 29)) (set! zwpf smvow) (+ -12 zwpf) zwpf));20.0;zwpf;(let* ((smvow (dummy 2)) (zwpf (dummy 1))) (begin (set! zwpf smvow)));10.0
(let* ((hn (if #f -2 (begin -7 14))) (lz 28) (so -29) (gnnv 5)) (- (begin (set! lz (- (/ -29 (+ so hn)) 21)) (set! lz hn) 30) (begin (+ hn 11) (+ 12 lz) gnnv)));37.0;lz;(let* ((hn (dummy 2)) (lz (dummy 2)) (so (dummy 1)) (gnnv (dummy 1))) (- (begin (set! lz (- (/ -29 (+ so hn)) 21)) (set! lz hn) 30) (begin gnnv)));32.0
(let* ((ivqg 18) (w 17) (hmprrg 26) (sp -21)) (- (begin (set! ivqg (/ hmprrg -19)) (set! sp w) (/ 27 w)) (begin (set! ivqg w) (set! hmprrg (- (/ 14 7) -6)) -30)));31.0;sp;(let* ((w (dummy 1)) (sp (dummy 1))) (- (begin (set! sp w) (/ 27 w)) (begin -30)));18.0
(let* ((v -28) (m 3)) (begin (set! v v) (set! m m) 24));9.0;m;(let* ((m (dummy 1))) (begin (set! m m)));7.0
(let* ((rlbnh (- 12 6)) (xoo (if #f 7 (/ -19 -28))) (kvq 6) (ma -1)) (+ (- ma ma) (begin (set! rlbnh 24) (set! kvq ma) -29)));26.0;rlbnh;(let* ((rlbnh (dummy 2)) (ma (dummy 1))) (+ (- ma ma) (begin (set! rlbnh 24) -29)));17.0
(letrec* ((uddvqh -24) (nbw 18) (cuz 21) (ytd 1)) (begin (set! cuz 23) (/ 7 12) (set! nbw nbw) (* uddvqh cuz)));18.0;ytd;(letrec* ((ytd 1)) '());3.0
(let ((qiw (* 24 -13)) (liwklb -24) (nad -30)) (begin (begin (set! qiw -30) -2) (set! liwklb nad) (set! nad 25) -27));17.0;liwklb;(let ((liwklb (dummy 2)) (nad (dummy 2))) (begin (set! liwklb nad)));10.0
(letrec* ((hfqatx 23)) (begin (set! hfqatx 0) (/ -23 (- -9 (+ (- (- hfqatx (* -22 hfqatx)) hfqatx) hfqatx))) (set! hfqatx hfqatx) (/ hfqatx 14)));30.0;hfqatx;(letrec* ((hfqatx (dummy 1))) (begin (set! hfqatx hfqatx)));7.0
(letrec* ((f (* (begin -18 25) (if #f (- 25 -28) (if #f 17 -1)))) (sqdhq 24) (jlr (if #t -2 -5)) (ap 0)) (begin (set! f (* 22 sqdhq)) sqdhq (set! f 25) sqdhq));32.0;f;(letrec* ((f (dummy 1))) (begin (set! f 25)));7.0
(letrec* ((d 3) (fjj 2)) (begin (set! fjj 24) -11 (set! fjj 7) fjj));10.0;fjj;(letrec* ((fjj (dummy 2))) (begin (set! fjj 7)));7.0
(letrec* ((qzafbv 9) (f 9) (hdkjia 5)) (- (begin (set! f 5) (set! f 13) (+ -3 9)) (* (- (* f 7) 12) (let* () (- (+ 14 (* (+ 9 26) hdkjia)) 5)))));38.0;hdkjia;(letrec* ((f (dummy 1)) (hdkjia 5)) (- (begin (+ -3 9)) (* (- (* f 7) 12) (let* () (- (+ 14 (* (+ 9 26) hdkjia)) 5)))));35.0
(let* ((i 16) (e (begin -26 -26)) (n (if #t 2 -16)) (jucus -20)) (begin (set! e e) (set! e (+ (- -6 21) -11)) jucus));22.0;n;(let* ((n (if #t 2 -16))) '());6.0
(let* ((ruccw -17) (zbjjd 19) (m (+ 2 0)) (yg 3)) (* (begin (set! yg (- -10 (/ m 9))) m) (- -30 (begin (set! zbjjd 19) 23))));27.0;m;(let* ((m (+ 2 0))) '());6.0
(letrec* ((wltr 2) (e 28)) (- (begin (set! e (- 3 (+ wltr 1))) (set! wltr 26) e) (begin (/ wltr 29) (- 26 9))));26.0;e;(letrec* ((wltr 2) (e (dummy 2))) (- (begin (set! e (- 3 (+ wltr 1))) e) (begin (- 26 9))));22.0
(letrec* ((vwlis 29) (mnuz (let () 5)) (bbtrw 28) (xsq 12)) (begin (set! vwlis -5) (set! mnuz (/ (+ (/ mnuz -25) bbtrw) mnuz)) -28 (- (- xsq (- (- -28 (/ -26 -11)) 23)) (* bbtrw (/ 18 -9)))));43.0;vwlis;(letrec* ((vwlis (dummy 1)) (mnuz (let () 5)) (bbtrw (dummy 2))) (begin (set! vwlis -5) (set! mnuz (/ (+ (/ mnuz -25) bbtrw) mnuz))));23.0
(let* ((u (begin (* -25 5) -10 7)) (j (* -19 -18)) (tu (if #t 6 28)) (ps 18)) (begin (set! j (* tu u)) (set! u -2) (set! tu 16) ps));28.0;u;(let* ((u (dummy 1))) (begin (set! u -2)));7.0
(let* ((jxtf (begin -10 12 -28)) (bncp (/ -25 19)) (erhfnf (/ 28 -25)) (pae -6)) (begin (set! jxtf 6) (+ 14 (* pae (+ erhfnf -13))) (set! bncp bncp) -1));30.0;erhfnf;(let* ((erhfnf (/ 28 -25))) '());6.0
(let ((wh (* 26 -23)) (zsjuu 7) (zr 26)) (begin (set! zr (+ -30 (+ zr 8))) (set! zr zr) 20 (- -8 zr)));23.0;zsjuu;(let ((zsjuu 7) (zr 26)) '());4.0
(let* ((rlcjk (if #f -18 (/ -11 -23))) (sqftjh 22) (le -4)) (begin (begin -15 sqftjh) (set! sqftjh -5) (set! sqftjh -2) (+ (/ -8 -18) rlcjk)));25.0;sqftjh;(let* ((sqftjh (dummy 2))) (begin (set! sqftjh -5) (set! sqftjh -2)));9.0
(let ((wjv 9) (uyag (* 21 20)) (v (- 14 -23)) (inwcwp 18)) (- (begin (set! wjv (if #t -30 (+ 25 wjv))) (set! uyag v) v) (/ (if #t 24 (* (/ (+ (- -5 v) inwcwp) (* -22 29)) 29)) wjv)));47.0;uyag;(let ((wjv (dummy 1)) (uyag (dummy 2)) (v (dummy 1)) (inwcwp (dummy 2))) (- (begin (set! wjv (if #t -30 (+ 25 wjv))) (set! uyag v) v) (/ (if #t 24 (* (/ (+ (- -5 v) inwcwp) (* -22 29)) 29)) wjv)));49.0
(let* ((cfkuz (/ (begin -2 30) -24)) (xtnnl -6) (gvtwb 30) (y -7)) (begin (set! y (* 20 -8)) 10 (set! gvtwb cfkuz) (/ gvtwb 23)));23.0;xtnnl;(let* ((xtnnl -6)) '());3.0
(let ((hzzgx (letrec* ((socw -9)) -3)) (rklb (/ -2 -15)) (zuuxf -7) (yvzgut -30)) (begin yvzgut (set! hzzgx zuuxf) (set! rklb rklb) (* 0 (- yvzgut rklb))));23.0;zuuxf;(let ((hzzgx (letrec* () -3)) (zuuxf -7)) '());5.0
